article_id,sample_id,coder_id_primary,coder_id_secondary,article_version_coded_primary,article_version_coded_secondary,open_access_status_primary,open_access_status_secondary,open_access_status_match,open_access_status_agreed,eligible_empirical_primary,eligible_empirical_secondary,eligible_empirical_match,eligible_empirical_agreed,research_design_primary,research_design_secondary,research_design_match,research_design_agreed,prereg_statement_primary,prereg_statement_secondary,prereg_statement_verbatim_primary,prereg_statement_verbatim_secondary,prereg_statement_match,prereg_statement_agreed,prereg_access_method_primary,prereg_access_method_secondary,prereg_access_method_match,prereg_access_method_agreed,prereg_access_status_primary,prereg_access_status_secondary,prereg_access_status_match,prereg_access_status_agreed,prereg_access_detail,prereg_identify_method_primary,prereg_identify_method_secondary,data_statement_primary,data_statement_secondary,data_statement_verbatim_primary,data_statement_verbatim_secondary,data_statement_match,data_statement_agreed,data_reason,data_access_method_primary,data_access_method_secondary,data_access_method_match,data_access_method_agreed,data_access_status_primary,data_access_status_secondary,data_access_status_match,data_access_status_agreed,data_access_detail,data_identify_method_primary,data_identify_method_secondary,materials_statement_primary,materials_statement_secondary,materials_statement_verbatim_primary,materials_statement_verbatim_secondary,materials_statement_match,materials_statement_agreed,materials_reason,materials_access_method_primary,materials_access_method_secondary,materials_access_method_match,materials_access_method_agreed,materials_access_status_primary,materials_access_status_secondary,materials_access_status_match,materials_access_status_agreed,materials_access_detail,materials_identify_method_primary,materials_identify_method_secondary,analysis_statement_primary,analysis_statement_secondary,analysis_statement_verbatim_primary,analysis_statement_verbatim_secondary,analysis_statement_match,analysis_statement_agreed,analysis_reason,analysis_access_method_primary,analysis_access_method_secondary,analysis_access_method_match,analysis_access_method_agreed,analysis_access_status_primary,analysis_access_status_secondary,analysis_access_status_match,analysis_access_status_agreed,analysis_access_detail,analysis_identify_method_primary,analysis_identify_method_secondary,funding_statement_primary,funding_statement_secondary,funding_statement_verbatim_primary,funding_statement_verbatim_secondary,funding_statement_match,funding_statement_agreed,funding_identify_method_primary,funding_identify_method_secondary,coi_statement_primary,coi_statement_secondary,coi_statement_verbatim_primary,coi_statement_verbatim_secondary,coi_statement_match,coi_statement_agreed,coi_identify_method_primary,coi_identify_method_secondary
62676,Field,TEH,RTT,Journal's version of record,Journal's version of record,No I can only access the article through a paywall,No I can only access the article through a paywall,TRUE,No I can only access the article through a paywall,Yes,Yes,TRUE,Yes,Experimental,Experimental,TRUE,Experimental,YES the statement says that there is a preregistration,YES the statement says that there is a preregistration,The trial is registered with clinical- trials.gov (Identifier: NCT01908855).,Trial registration: ClinicalTrials.gov identifier: NCT01908855.,TRUE,YES the statement says that there is a preregistration,ClinicalTrials.gov,ClinicalTrials.gov,TRUE,ClinicalTrials.gov,YES,YES,TRUE,YES,NA,Keyword search was sufficient,Keyword search was sufficient,NO there is no data availability statement,NO there is no data availability statement,NA,NA,TRUE,NO there is no data availability statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,UNCLEAR a third party source is identified without any indication of availability,UNCLEAR a third party source is identified without any indication of availability,NA,NA,TRUE,UNCLEAR a third party source is identified without any indication of availability,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NO there is no analysis script availability statement,NO there is no analysis script availability statement,NA,NA,TRUE,NO there is no analysis script availability statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,YES the statement discloses at least one source of funding,YES the statement discloses at least one source of funding,"""The trial entitled “Enriching Cognitive-behavioral Therapy (CBT) with Emotion Regulation Training (ERT) in Patients with Multiple Somatoform Symp- toms: ENCERT” has been funded since 2013 by the DFG (German Research Foundation).""","The trial entitled “Enriching Cognitive-behavioral
Therapy (CBT) with Emotion Regulation Training
(ERT) in Patients with Multiple Somatoform Symptoms: ENCERT” has been funded since 2013 by the
DFG (German Research Foundation).",TRUE,YES the statement discloses at least one source of funding,Keyword search was sufficient,Keyword search was sufficient,YES the statement says that there were no conflicts of interest,YES the statement discloses at least one conflict of interest,"""Disclosure Statement. No potential conflict of interest was reported by the author(s).""","No potential conflict of interest was reported by the
author(s)",FALSE,YES the statement says that there were no conflicts of interest,Keyword search was sufficient,Keyword search was sufficient
75660,Field,TEH,RTT,Journal's version of record,Journal's version of record,Yes,Yes,TRUE,Yes,Yes,Yes,TRUE,Yes,Non-experimental,Non-experimental,TRUE,Non-experimental,NO there is no statement about preregistration,NO there is no statement about preregistration,NA,NA,TRUE,NO there is no statement about preregistration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,There's a data availability statement but it doesn't say anything about data availability,"They have a data availability statement that has no relevant information: ""Data Availability This article is distributed under the terms of the Creative Commons Attribution 4.0 International License (http://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons license, and indicate if changes were made.""","""Data Availability. This article is distributed under the terms of the Creative Commons Attribution 4.0 Interna- tional License (http://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons license, and indicate if changes were made.""","Data Availability This article is distributed under the terms of the Creative Commons Attribution 4.0 International
License (http://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and
reproduction in any medium, provided you give appropriate credit to the original author(s) and the source,
provide a link to the Creative Commons license, and indicate if changes were made.",FALSE,NO there is no data availability statement,NA,No information,The statement does not specify anything about the data's availability.,FALSE,NA,NO,NO,TRUE,NA,,Keyword search was sufficient,Keyword search was sufficient,UNCLEAR a third party source is identified without any indication of availability,UNCLEAR a third party source is identified without any indication of availability,NA,NA,TRUE,UNCLEAR a third party source is identified without any indication of availability,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NO there is no analysis script availability statement,NO there is no analysis script availability statement,NA,NA,TRUE,NO there is no analysis script availability statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NO there is no funding statement,NO there is no funding statement,NA,NA,TRUE,NO there is no funding statement,NA,NA,YES the statement discloses at least one conflict of interest,YES the statement says that there were no conflicts of interest,"""Conflict of Interest The authors declare that they have no conflict of interest.""",The authors declare that they have no conflict of interest.,FALSE,YES the statement says that there were no conflicts of interest,Keyword search was sufficient,Keyword search was sufficient
17298,Field,TEH,RTT,Journal's version of record,An alternative open access version,Yes,Yes,TRUE,Yes,Yes,Yes,TRUE,Yes,Non-experimental,Non-experimental,TRUE,Non-experimental,NO there is no statement about preregistration,NO there is no statement about preregistration,NA,NA,TRUE,NO there is no statement about preregistration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES the statement says that the data are available,YES the statement says that the data are available,"""Publicly available datasets were analyzed in this study, this original data can be found here: http://ceps.ruc.edu.cn."" ""The Supplementary Material for this article can be found online at: https://www.frontiersin.org/articles/10.3389/fpsyg.2022.911959/full#supplementary-material""","Publicly available datasets were analyzed in this study, this
original data can be found here: http://ceps.ruc.edu.cn.",TRUE,YES the statement says that the data are available,NA,Supplementary materials hosted by the journal,From a third party,FALSE,From a third party,YES,"I cannot download the data from the website the paper direct us to in their data availability statement. The webpage with the data only exists in chinese and I cannot access the data with being registered. However, their supplemnetary material appears to have some data that I can access, but there is no indication of what this data is used for.",FALSE,YES,,Keyword search was sufficient,Keyword search was sufficient,UNCLEAR a third party source is identified without any indication of availability,UNCLEAR a third party source is identified without any indication of availability,NA,NA,TRUE,UNCLEAR a third party source is identified without any indication of availability,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,YES the statement says that the analysis scripts are available,The supplementary material appears to have some sort of code-like text,"""The Supplementary Material for this article can be found online at: https://www.frontiersin.org/articles/10.3389/fpsyg.2022.911959/full#supplementary-material""","The Supplementary Material for this article can be
found online at: https://www.frontiersin.org/articles/10.3389/
fpsyg.2022.911959/full#supplementary-material
",FALSE,NO there is no analysis script availability statement,NA,Supplementary materials hosted by the journal,Supplementary materials hosted by the journal,TRUE,NA,YES,it's unclear to me whether this is an analysis script.,FALSE,NA,,Manual search was needed,Manual search was needed,YES the statement discloses at least one source of funding,YES the statement discloses at least one source of funding,"""This study was funded by the Guizhou Province Research Fund (No. KYJJ2017014) and Innovation Fund Project for Graduate Students (No. YAN2018005).""","This study was funded by the Guizhou Province Research
Fund (No. KYJJ2017014) and Innovation Fund Project for
Graduate Students (No. YAN2018005).",TRUE,YES the statement discloses at least one source of funding,Keyword search was sufficient,Keyword search was sufficient,YES the statement says that there were no conflicts of interest,YES the statement says that there were no conflicts of interest,"""This study was funded by the Guizhou Province Research Fund (No. KYJJ2017014) and Innovation Fund Project for Graduate Students (No. YAN2018005).""","The authors declare that the research was conducted in the
absence of any commercial or financial relationships that could
be construed as a potential conflict of interest.",TRUE,YES the statement says that there were no conflicts of interest,Keyword search was sufficient,Keyword search was sufficient
62868,Field,TEH,RTT,Journal's version of record,Journal's version of record,Yes,Yes,TRUE,Yes,Yes,Yes,TRUE,Yes,Meta-analysis,Meta-analysis,TRUE,Meta-analysis,YES the statement says that there is a preregistration,YES the statement says that there is a preregistration,"""The systematic review protocol is registered with PROSPERO (registration number CRD42020187417""","The systematic review protocol is registered
with PROSPERO (registration number
CRD42020187417; see Centre for Reviews
and Dissemination, n.d.).",TRUE,YES the statement says that there is a preregistration,PROSPERO,PROSPERO,TRUE,PROSPERO,YES,YES,TRUE,YES,NA,Keyword search was sufficient,Keyword search was sufficient,YES the statement says that the data are available,YES the statement says that the data are available,"""Data availability statement. The raw data and accompanying code script may be accessed online at https:// github.com/mtrood/effects-of-judicial-supervi- sion-on-recidivisim-of-offenders-in-Australia- and-New-Zealand.""","The raw data and accompanying code
script may be accessed online at https://
github.com/mtrood/effects-of-judicial-supervision-on-recidivisim-of-offenders-in-Australiaand-New-Zealand.",TRUE,YES the statement says that the data are available,NA,"An online, third-party repository (e.g., OSF, FigShare etc.)",GitHub,FALSE,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,YES,TRUE,YES,,Keyword search was sufficient,Keyword search was sufficient,NO there is no materials availability statement,UNCLEAR a third party source is identified without any indication of availability,NA,NA,FALSE,UNCLEAR a third party source is identified without any indication of availability,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,YES the statement says that the analysis scripts are available,YES the statement says that the analysis scripts are available,"""Data availability statement. The raw data and accompanying code script may be accessed online at https:// github.com/mtrood/effects-of-judicial-supervi- sion-on-recidivisim-of-offenders-in-Australia- and-New-Zealand.""","The raw data and accompanying code
script may be accessed online at https://
github.com/mtrood/effects-of-judicial-supervision-
on-recidivisim-of-offenders-in-Australiaand-
New-Zealand.",TRUE,YES the statement says that the analysis scripts are available,NA,"An online, third-party repository (e.g., OSF, FigShare etc.)",GitHub,FALSE,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,YES,TRUE,YES,,Keyword search was sufficient,Keyword search was sufficient,NO there is no funding statement,NO there is no funding statement,NA,NA,TRUE,NO there is no funding statement,NA,NA,YES the statement says that there were no conflicts of interest,YES the statement says that there were no conflicts of interest,"""Declaration of conflicts of interest
Michael D. Trood has declared no conflicts of interest
Benjamin L. Spivak has declared no conflicts of interest
James R. P. Ogloff has declared no conflicts of interest""","Michael D. Trood has declared no conflicts
of interest
Benjamin L. Spivak has declared no conflicts
of interest
James R. P. Ogloff has declared no conflicts
of interest",TRUE,YES the statement says that there were no conflicts of interest,Keyword search was sufficient,Keyword search was sufficient
35111,Prominent,TEH,SC,Journal's version of record,Journal's version of record,No I can only access the article through a paywall,No I can only access the article through a paywall,TRUE,No I can only access the article through a paywall,Yes,Yes,TRUE,Yes,Non-experimental,Experimental,FALSE,Experimental,NO there is no statement about preregistration,NO there is no statement about preregistration,NA,NA,TRUE,NO there is no statement about preregistration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO there is no data availability statement,NO there is no data availability statement,NA,NA,TRUE,NO there is no data availability statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NO there is no materials availability statement,third party,NA,"To assess the students’ reading comprehension, we used the reading
comprehension test of Lernstand 5 (subject German), a standardized test
developed by a German federal institute (IBBW – Institute for Educational
Analysis Baden-Württemberg)

",FALSE,UNCLEAR a third party source is identified without any indication of availability,NA,NA,From a third party,NA,NA,NA,NO,NA,NA,,NA,Keyword search was sufficient,NO there is no analysis script availability statement,NO there is no analysis script availability statement,NA,NA,TRUE,NO there is no analysis script availability statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,YES the statement discloses at least one source of funding,YES the statement discloses at least one source of funding,"""This research was supported in part by grants from the University of Mannheim (JP+) and by grants from the Ministry of Science, Research, and the Arts in
Baden-Württemberg, Germany""","This research was supported in part by grants from the University of Mannheim (JP+) and by grants from the Ministry of Science, Research, and the Arts in
Baden-Württemberg, Germany.",TRUE,YES the statement discloses at least one source of funding,Manual search was needed,Manual search was needed,NO there is no conflict of interest statement,NO there is no conflict of interest statement,NA,NA,TRUE,NO there is no conflict of interest statement,NA,NA
55632,Prominent,TEH,SC,Journal's version of record,Journal's version of record,Yes,Yes,TRUE,Yes,Yes,Yes,TRUE,Yes,Experimental,Experimental,TRUE,Experimental,YES the statement says that there is a preregistration,YES the statement says that there is a preregistration,"""The study was registered in ClinicalTrials.org before data collection began (ID: NCT04890990).""",The study was registered in ClinicalTrials.org before data collection began (ID: NCT04890990).,TRUE,YES the statement says that there is a preregistration,ClinicalTrials.gov,ClinicalTrials.gov,TRUE,ClinicalTrials.gov,YES,YES,TRUE,YES,NA,Keyword search was sufficient,Keyword search was sufficient,NO there is no data availability statement,NO there is no data availability statement,NA,NA,TRUE,NO there is no data availability statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,YES the statement says that the materials are available,YES the statement says that the materials are available,"""The three stimulus video clips are available for viewing through the url links in Appendix S1.""",Appendix S1. Links to three stimulus video conditions.,TRUE,YES the statement says that the materials are available,NA,Supplementary materials hosted by the journal,Supplementary materials hosted by the journal,TRUE,Supplementary materials hosted by the journal,YES,YES,TRUE,YES,,Manual search was needed,Manual search was needed,NO there is no analysis script availability statement,NO there is no analysis script availability statement,NA,NA,TRUE,NO there is no analysis script availability statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NO there is no funding statement,YES the statement discloses at least one source of funding,NA,"Supported by the Riva Ariella Ritvo Endowment at the
Yale School of Medicine, by NIMH R25 MH077823,
“Research Education for Future Physician-Scientists in
Child Psychiatry”, and by a Young Faculty Research
Award to D.A. from the Columbia University Vagelos
College of Physicians and Surgeons.",FALSE,YES the statement discloses at least one source of funding,NA,Manual search was needed,YES the statement says that there were no conflicts of interest,YES the statement says that there were no conflicts of interest,"""Conflict of interest: No conflicts declared.""","Conflict of interest: No conflicts declared.

The authors have declared that they have no competing or potential conflicts of interest.",TRUE,YES the statement says that there were no conflicts of interest,Keyword search was sufficient,Keyword search was sufficient
32399,Prominent,TEH,SC,Journal's version of record,Journal's version of record,Yes,Yes,TRUE,Yes,Yes,Yes,TRUE,Yes,Non-experimental,Experimental,FALSE,Non-experimental,YES the statement says that there is a preregistration,YES the statement says that there is a preregistration,preregistration: https://aspredicted.org/MM5_N26,"In a second posttest (preregistration: https://aspredicted.org/
MM5_N26)",TRUE,YES the statement says that there is a preregistration,AsPredicted,AsPredicted,TRUE,AsPredicted,YES,YES,TRUE,YES,NA,Keyword search was sufficient,Keyword search was sufficient,YES the statement says that the data are available,YES the statement says that the data are available,"""Interested readers can find data and materials from all studies reported below here: https://osf.io/j5g6n/?view_only=6967fbc462c146c4abf2608800274962""","Interested readers can find data and materials from all studies reported
below here: https://osf.io/j5g6n/?view_only=6967fbc462c146c4abf260880
0274962.",TRUE,YES the statement says that the data are available,NA,"An online, third-party repository (e.g., OSF, FigShare etc.)","An online, third-party repository (e.g., OSF, FigShare etc.)",TRUE,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,YES,TRUE,YES,,Keyword search was sufficient,Keyword search was sufficient,YES the statement says that the materials are available,YES the statement says that the materials are available,"""Interested readers can find data and materials from all studies reported below here: https://osf.io/j5g6n/?view_only=6967fbc462c146c4abf2608800274962""","Interested readers can find data and materials from all studies reported
below here: https://osf.io/j5g6n/?view_only=6967fbc462c146c4abf260880
0274962.",TRUE,YES the statement says that the materials are available,NA,"An online, third-party repository (e.g., OSF, FigShare etc.)","An online, third-party repository (e.g., OSF, FigShare etc.)",TRUE,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,YES,TRUE,YES,,Keyword search was sufficient,Keyword search was sufficient,NO there is no analysis script availability statement,NO there is no analysis script availability statement,NA,NA,TRUE,NO there is no analysis script availability statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,YES the statement discloses at least one source of funding,YES the statement discloses at least one source of funding,"""Funded by: National Science Foundation""","The research reported in this article was supported in part by U.S. National
Science Foundation Award 1749608, awarded to Clayton R. Critcher.",TRUE,YES the statement discloses at least one source of funding,Keyword search was sufficient,Manual search was needed,NO there is no conflict of interest statement,NO there is no conflict of interest statement,NA,NA,TRUE,NO there is no conflict of interest statement,NA,NA
70072,Prominent,TEH,SC,Journal's version of record,Journal's version of record,Yes,Yes,TRUE,Yes,Yes,Yes,TRUE,Yes,Non-experimental,Non-experimental,TRUE,Non-experimental,YES the statement says that there is a preregistration,YES the statement says that there is a preregistration,"""Clinical trial registration: Netherlands Trial Register: NL5837 (NTR5992) https://www.trialregister.nl/trial/5837""",Clinical trial registration: Netherlands Trial Register: NL5837 (NTR5992) https://www.trialregister.nl/trial/5837,TRUE,YES the statement says that there is a preregistration,Netherlands Trial Register,Netherlands Trial Register,TRUE,Netherlands Trial Register,NO,"The Dutch Trial Register (NTR) is no longer available, but the replacement service wouldn't let me find the right trial.",FALSE,NO,Broken link,Keyword search was sufficient,Keyword search was sufficient,YES the statement says that the data are available,YES the statement says that the data are available,"""Data Availability Statement. Deidentified study data will be shared upon reasonable request by contacting the corresponding author.""","Deidentified study data will be shared upon reasonable request by contacting the
corresponding author. The full study protocol is published and available to the public (Van
Olden et al., 2021).",TRUE,YES the statement says that the data are available,NA,Upon request from the authors,Upon request from the authors,TRUE,Upon request from the authors,NO,NO,TRUE,NO,Upon request,Keyword search was sufficient,Keyword search was sufficient,UNCLEAR a third party source is identified without any indication of availability,third party,NA,"Tendency to be compassionate towards the self when facing difficulties or setbacks was
measuredwith the Self-compassion Scale Short Form (SCS-SF; Raes, Pommier, Neff, &Van
Gucht, 2011).

Depression was measured with the Center for Epidemiology Studies Depression Scale
Revised version (CES-D; Radloff, 1977)

Quality of life was assessed with the Impact of Weight on Quality of Life (IWQOL;
Kolotkin, Crosby, Kosloski, & Williams, 2001; Kolotkin, Head, Hamilton, & Tse, 1995)
questionnaire

Participant body image satisfaction and perceived attractiveness were measured with the
Body Image Scale (BIS; Hopwood, Fletcher, Lee, & Al Ghazal, 2001).

Participants’ self-efficacy for controlling their eating behaviour in specific situations was
measured with the Weight Efficacy Lifestyle Questionnaire (WEL-Q; Clark, Abrams,
Niaura, Eaton, & Rossi, 1991).

Self-efficacy to be able to perform regular physical activities and exercise was assessed
with the 10-itemSpinal Cord Injury Exercise Self-Efficacy Scale (SCI-ESES; Kroll, Kehn, Ho,&Groah, 2007).

The level of craving for food in general was assessed with the G-Food Craving
Questionnaire-Trait (FCQ-T, Nijs, Franken, & Muris, 2007).",FALSE,UNCLEAR a third party source is identified without any indication of availability,NA,NA,From a third party,NA,NA,NA,NO,NA,NA,,NA,Keyword search was sufficient,NO there is no analysis script availability statement,NO there is no analysis script availability statement,NA,NA,TRUE,NO there is no analysis script availability statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,YES the statement discloses at least one source of funding,YES the statement discloses at least one source of funding,"""The BARIA study is funded by the Novo Nordiskundation (NNF15OC0016798).""",The BARIA study is funded by the Novo Nordiskundation (NNF15OC0016798).,TRUE,YES the statement discloses at least one source of funding,Keyword search was sufficient,Keyword search was sufficient,YES the statement says that there were no conflicts of interest,YES the statement says that there were no conflicts of interest,"""All authors declare no conflict of interest.""",All authors declare no conflict of interest.,TRUE,YES the statement says that there were no conflicts of interest,Keyword search was sufficient,Keyword search was sufficient
15849,Prominent,TEH,SC,Journal's version of record,Journal's version of record,Yes,Yes,TRUE,Yes,Yes,Yes,TRUE,Yes,Non-experimental,Experimental,FALSE,Non-experimental,YES the statement says that there is no preregistration,YES the statement says that there is no preregistration,"""The design and analysis plans for the studies were not preregistered.""",The design and analysis plans for the studies were not preregistered.,TRUE,YES the statement says that there is no preregistration,NA,not preregistered,NA,NA,NA,NO,NA,NA,NA,Keyword search was sufficient,Keyword search was sufficient,YES the statement says that the data are available,YES the statement says that the data are available,"""Materials, behavioral data, and analysis codes for these studies have been made publicly accessible on OSF (https://osf.io/ardcu).""","Materials, behavioral data, and analysis codes for these studies have been made publicly accessible on OSF (https://osf.io/ardcu).",TRUE,YES the statement says that the data are available,NA,"An online, third-party repository (e.g., OSF, FigShare etc.)","An online, third-party repository (e.g., OSF, FigShare etc.)",TRUE,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,YES,TRUE,YES,,Keyword search was sufficient,Keyword search was sufficient,YES the statement says that the materials are available,YES the statement says that the materials are available,"""Materials, behavioral data, and analysis codes for these studies have been made publicly accessible on OSF (https://osf.io/ardcu).""","Materials, behavioral data, and analysis codes for these
studies have been made publicly accessible on OSF
(https://osf.io/ardcu).",TRUE,YES the statement says that the materials are available,NA,"An online, third-party repository (e.g., OSF, FigShare etc.)","An online, third-party repository (e.g., OSF, FigShare etc.)",TRUE,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,I don't have access to Matlab.,FALSE,YES,,Keyword search was sufficient,Keyword search was sufficient,YES the statement says that the analysis scripts are available,YES the statement says that the analysis scripts are available,"""Materials, behavioral data, and analysis codes for these studies have been made publicly accessible on OSF (https://osf.io/ardcu).""","Materials, behavioral data, and analysis codes for these
studies have been made publicly accessible on OSF
(https://osf.io/ardcu).",TRUE,YES the statement says that the analysis scripts are available,NA,"An online, third-party repository (e.g., OSF, FigShare etc.)","An online, third-party repository (e.g., OSF, FigShare etc.)",TRUE,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,I don't have access to Matlab.,FALSE,YES,,Keyword search was sufficient,Keyword search was sufficient,YES the statement discloses at least one source of funding,YES the statement discloses at least one source of funding,"""This work was supported by grants from the John Temple- ton Foundation (Beacons Project and No. 61495), the Academy of Medical Sciences (SBF001\1008), the Oxford University Press John Fell Fund, and the Wellcome Trust Institutional Strategic Support Fund (204826/Z/16/Z) awarded to M. J. Crockett. H. Yu was supported by The Royal Society Newton International Fellowship (NF160700) and a Theresa Seessel Endowed Fellowship, Yale Univer- sity. M. A. J. Apps was supported by a Biotechnology and Biological Sciences Research Council David Phillips Fellowship (BB/R010668/1).""","This work was supported by grants from the John Templeton
Foundation (Beacons Project and No. 61495), the
Academy of Medical Sciences (SBF001\1008), the Oxford
University Press John Fell Fund, and the Wellcome Trust
Institutional Strategic Support Fund (204826/Z/16/Z)
awarded to M. J. Crockett. H. Yu was supported by The
Royal Society Newton International Fellowship (NF160700)
and a Theresa Seessel Endowed Fellowship, Yale University.
M. A. J. Apps was supported by a Biotechnology and
Biological Sciences Research Council David Phillips
Fellowship (BB/R010668/1).",TRUE,YES the statement discloses at least one source of funding,Keyword search was sufficient,Keyword search was sufficient,YES the statement says that there were no conflicts of interest,YES the statement says that there were no conflicts of interest,"""The author(s) declared that there were no conflicts of interest with respect to the authorship or the publication of this article.""","The author(s) declared that there were no conflicts of
interest with respect to the authorship or the publication
of this article.",TRUE,YES the statement says that there were no conflicts of interest,Keyword search was sufficient,Keyword search was sufficient
17442,Prominent,TEH,SC,Journal's version of record,Journal's version of record,Yes,Yes,TRUE,Yes,Yes,Yes,TRUE,Yes,Non-experimental,Non-experimental,TRUE,Non-experimental,NO there is no statement about preregistration,NO there is no statement about preregistration,NA,NA,TRUE,NO there is no statement about preregistration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO there is no data availability statement,NO there is no data availability statement,NA,NA,TRUE,NO there is no data availability statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NO there is no materials availability statement,third party,NA,"The ecological Momentary Assessment of Procrastination Scale (e-
MAPS; Wieland et al., 2018) was used to determine whether the delay of
a study session qualifies as procrastination behavior.

Students’ task-related ambiguity perception for each (intended)
study session was assessed using four items selected from the German
version (Schmidt & Hollmann, 1998) of Breaugh and Colihan’s (1994)
job ambiguity scale. 

The German short form of the General Procrastination Scale (GPS:
Lay, 1986; GPS-K: Klingsieck & Fries, 2012) was used to assess students’
general procrastination tendency at baseline.

The German version of the Neo-Five Factor Inventory (NEO-FFI;
Borkenau & Ostendorf, 2008; Costa & McCrae, 1992) was assessed at
baseline (including all 60 items), using a seven-point rating scale (0 =
strongly disagree, 6 = strongly agree).",FALSE,UNCLEAR a third party source is identified without any indication of availability,NA,NA,From a third party,NA,NA,NA,NO,NA,NA,,NA,Manual search was needed,YES the statement says that the analysis scripts are available,YES the statement says that the analysis scripts are available,"""(Appendix B provides the Mplus Code).""","We therefore conducted an MCFA using maximum likelihood estimation
with robust standard errors (MLR), fixing factor variances at 1.0, and
freely estimating all factor loadings (Appendix A provides the Mplus
Code).
A stepwise logistic multi-level regression approach was used to
predict the risk for the occurrence of procrastination behavior in
studying for the exam (Appendix B provides the Mplus Code).",TRUE,YES the statement says that the analysis scripts are available,NA,Within the article (or appendices),Within the article (or appendices),TRUE,Within the article (or appendices),YES,YES,TRUE,YES,,Manual search was needed,Keyword search was sufficient,YES the statement discloses at least one source of funding,YES the statement discloses at least one source of funding,"""This work was partially supported by the Federal Ministry of Education
and Research of Germany; Lehre hoch Forschung [grant number:
01PL17004].""","Funding
This work was partially supported by the Federal Ministry of Education
and Research of Germany; Lehre hoch Forschung [grant number:
01PL17004].",TRUE,YES the statement discloses at least one source of funding,Keyword search was sufficient,Keyword search was sufficient,YES the statement says that there were no conflicts of interest,YES the statement says that there were no conflicts of interest,"""The authors have no conflicts of interest to disclose.""","Declaration of competing interest
The authors have no conflicts of interest to disclose.",TRUE,YES the statement says that there were no conflicts of interest,Keyword search was sufficient,Keyword search was sufficient
