article_id,primary_coder,secondary_coder,DOI,journal_name,title,wos_id
35111,NA,NA,https://doi.org/10.1016/j.learninstruc.2022.101597,LEARNING AND INSTRUCTION,Data-based differentiated instruction: The impact of standardized assessment and aligned teaching material on students? reading comprehension,WOS:000803843300003
55632,NA,NA,https://doi.org/10.1111/jcpp.13570,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,Destigmatizing perceptions about Black adolescent depression: randomized controlled trial of brief social contact-based video interventions,WOS:000745630500001
32399,NA,NA,https://doi.org/10.1037/pspi0000264,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,Who Sees Which Political Falsehoods as More Acceptable and Why: A New Look at In-Group Loyalty and Trustworthiness,WOS:000811239500001
70072,NA,NA,https://doi.org/10.1111/bjhp.12532,BRITISH JOURNAL OF HEALTH PSYCHOLOGY,Psychological functioning and well-being before and after bariatric surgery; what is the benefit of being self-compassionate?,WOS:000649585100001
15849,NA,NA,https://doi.org/10.1177/09567976221122765,PSYCHOLOGICAL SCIENCE,Neural and Cognitive Signatures of Guilt Predict Hypocritical Blame,WOS:000864880000001
17442,NA,NA,https://doi.org/10.1016/j.learninstruc.2022.101595,LEARNING AND INSTRUCTION,Task ambiguity and academic procrastination: An experience sampling approach,WOS:000861066500002
9641,NA,NA,https://doi.org/10.1177/17456916221133826,PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,The WEIRD Microcosm of Microaggression Research: Toward a Cultural-Psychological Approach,WOS:000885354200001
28401,NA,NA,https://doi.org/10.1080/00461520.2022.2089989,EDUCATIONAL PSYCHOLOGIST,Building bridges to advance the community of inquiry framework for online learning,WOS:000824666200001
69724,NA,NA,https://doi.org/10.1007/s11469-021-00548-5,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,Moderating Influence of Predictive Control on the Near-Miss Effect-Gambling Intention Association in Nigerian Polytechnic Students,WOS:000654093700001
71792,NA,NA,https://doi.org/10.1017/S003329172100043X,PSYCHOLOGICAL MEDICINE,Comparison of social cognition using an adapted Chinese version of the Reading the Mind in the Eyes Test in drug-naive and regularly medicated individuals with chronic schizophrenia and healthy controls in rural China,WOS:000785786500001
53589,NA,NA,https://doi.org/10.1159/000521348,PSYCHOTHERAPY AND PSYCHOSOMATICS,Anxiolytic Effects of Chronic Intranasal Oxytocin on Neural Responses to Threat Are Dose-Frequency Dependent,WOS:000750619900001
5173,NA,NA,https://doi.org/10.1002/hrm.22158,HUMAN RESOURCE MANAGEMENT,The HR ecosystem: Emerging trends and a future research agenda,WOS:000900830200001
75234,NA,NA,https://doi.org/10.1007/s11469-020-00279-z,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,Psychometric Validation of the Internet Disorder Scale-Short Form in an Italian Adult Sample,WOS:000529878800002
57687,NA,NA,https://doi.org/10.1002/job.2589,JOURNAL OF ORGANIZATIONAL BEHAVIOR,From lone wolves to members of the pack: Exploring interpersonal identity work within identity workspaces,WOS:000735218900001
54109,NA,NA,https://doi.org/10.1007/s10567-022-00379-3,CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW,The Divorce Process and Child Adaptation Trajectory Typology (DPCATT) Model: The Shaping Role of Predivorce and Postdivorce Interparental Conflict,WOS:000749406100001
26145,NA,NA,https://doi.org/10.1037/apl0001038,JOURNAL OF APPLIED PSYCHOLOGY,Perceived Misalignment of Professional Prototypes Reduces Subordinates' Endorsement of Sexist Supervisors,WOS:000830741200001
12885,NA,NA,https://doi.org/10.1016/j.jadohealth.2022.05.019,JOURNAL OF ADOLESCENT HEALTH,"Youth-Reported School Connection and Experiences of a Middle School-Based Screening, Brief Intervention, and Referral to Treatment Initiative: Preliminary Results From a Program Evaluation",WOS:000873233000009
60801,NA,NA,https://doi.org/10.1177/09637214211053637,CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,Do Social Networking Sites Influence Well-Being? The Extended Active-Passive Model,WOS:000726490300001
71587,NA,NA,https://doi.org/10.1017/S0033291721000817,PSYCHOLOGICAL MEDICINE,"Effects of tDCS during inhibitory control training on performance and PTSD, aggression and anxiety symptoms: a randomized-controlled trial in a military sample",WOS:000787510100001
12992,NA,NA,https://doi.org/10.1016/j.leaqua.2020.101459,LEADERSHIP QUARTERLY,Managerial commitment to the status quo and corporate divestiture: Can power motivate openness to change?,WOS:000873381300006
14308,NA,NA,https://doi.org/10.1016/j.jaac.2022.03.031,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,Antiracism Work in Schools: Using Dialectical Behavior Therapy Skills to Empower South Texas Educators,WOS:000870028200005
27547,NA,NA,https://doi.org/10.1007/s00787-022-02047-x,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,Maternal pre-pregnancy BMI and offspring hyperactivity-inattention trajectories from 3 to 8 years in the EDEN birth cohort study,WOS:000826844800001
60894,NA,NA,https://doi.org/10.1016/j.learninstruc.2021.101500,LEARNING AND INSTRUCTION,"It's more about a lesson than a domain: Lesson-specific autonomy support, motivation, and engagement in math and a second language",WOS:000725569800014
73247,NA,NA,https://doi.org/10.1007/s11469-020-00421-x,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,"Personality, Cognition, and Adaptability to the COVID-19 Pandemic: Associations with Loneliness, Distress, and Positive and Negative Mood States",WOS:000590498800001
54640,NA,NA,https://doi.org/10.1016/j.jaac.2021.02.024,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,An Individual Participant Data Meta-analysis: Behavioral Treatments for Children and Adolescents With Attention-Deficit/Hyperactivity Disorder,WOS:000747812300012
12502,NA,NA,https://doi.org/10.1016/j.chb.2022.107493,COMPUTERS IN HUMAN BEHAVIOR,Understanding the state of criminological scholarship on cybercrimes,WOS:000876428000005
54005,NA,NA,https://doi.org/10.1037/pspa0000285,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,"""I"" Am More Concrete Than ""We"": Linguistic Abstraction and First-Person Pronoun Usage",WOS:000749769000001
3836,NA,NA,https://doi.org/10.1007/s00787-022-02133-0,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,Cortical thickness abnormalities in autism spectrum disorder,WOS:000901839100002
71924,NA,NA,https://doi.org/10.1017/S0033291721000672,PSYCHOLOGICAL MEDICINE,Self-reported and mother-rated personality traits at age 16 are associated with cognitive function measured concurrently and 30 years later,WOS:000785728500001
7100,NA,NA,https://doi.org/10.1017/S0033291720004948,PSYCHOLOGICAL MEDICINE,Device-measured sedentary behaviour and anxiety symptoms during adolescence: a 6-year prospective cohort study,WOS:000888833700012
71777,NA,NA,https://doi.org/10.1007/s00787-021-01727-4,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,Schizophrenia polygenic risk is associated with child mental health problems through early childhood adversity: evidence for a gene-environment correlation,WOS:000622258700001
28105,NA,NA,https://doi.org/10.1017/S0033291720003529,PSYCHOLOGICAL MEDICINE,Shared intrinsic functional connectivity alterations as a familial risk marker for ADHD: a resting-state functional magnetic resonance imaging study with sibling design,WOS:000823927100015
4336,NA,NA,https://doi.org/10.1007/s00787-022-02123-2,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,Electroconvulsive therapy in children and adolescents: results from a population-based study utilising the Swedish National Quality Register,WOS:000898703700001
54434,NA,NA,https://doi.org/10.1037/met0000330,PSYCHOLOGICAL METHODS,Summary-Statistics-Based Power Analysis: A New and Practical Method to Determine Sample Size for Mixed-Effects Modeling,WOS:000747998800001
33756,NA,NA,https://doi.org/10.1177/10888683221095697,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,Social Movements as Parsimonious Explanations for Implicit and Explicit Attitude Change,WOS:000808098000001
51165,NA,NA,https://doi.org/10.1017/S0033291721005080,PSYCHOLOGICAL MEDICINE,Understanding the effects of neighborhood disadvantage on youth psychopathology,WOS:000756115400001
71729,NA,NA,https://doi.org/10.1007/s00787-021-01738-1,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,Reported autism diagnosis is associated with psychotic-like symptoms in the Adolescent Brain Cognitive Development cohort,WOS:000623711400002
12171,NA,NA,https://doi.org/10.1002/job.2669,JOURNAL OF ORGANIZATIONAL BEHAVIOR,Karasek's activation hypothesis: A longitudinal test of within-person relationships,WOS:000875402300001
13966,NA,NA,https://doi.org/10.1002/da.23287,DEPRESSION AND ANXIETY,Psychiatric morbidity among men using anabolic steroids,WOS:000871324100001
72126,NA,NA,https://doi.org/10.1111/apps.12308,APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,"Antecedents of employee thriving at work: The roles of formalization, ethical leadership, and interpersonal justice",WOS:000620216200001
20987,NA,NA,https://doi.org/10.1177/09567976221098594,PSYCHOLOGICAL SCIENCE,Belief in the Utility of Cross-Partisan Empathy Reduces Partisan Animosity and Facilitates Political Persuasion,WOS:000847832300001
30848,NA,NA,https://doi.org/10.1002/job.2649,JOURNAL OF ORGANIZATIONAL BEHAVIOR,Start with why: The transfer of work meaningfulness from leaders to followers and the role of dyadic tenure,WOS:000816978900001
34647,NA,NA,https://doi.org/10.1016/j.cedpsych.2022.102080,CONTEMPORARY EDUCATIONAL PSYCHOLOGY,Does the emotional stance of human and virtual instructors in instructional videos affect learning processes and outcomes?,WOS:000806793200001
