ID;Publication.Year;Author;Title;Abstract.Note;Publication.Title;DOI;Language;FirstA_continent;Access;Preprint;PreRegistered;OpenMaterial;OM_scale;OM_script;OM_other;OpenData;Source_OM
43;2017;"Aloba, O.; Ojeleye, O.; Aloba, T.";The psychometric characteristics of the 4-item Suicidal Behaviors Questionnaire-Revised (SBQ-R) as a screening tool in a non-clinical sample of Nigerian university students;"Background Suicide is a major contribution to mortality among university students in developed countries. There is no reliable and validated self-report suicide assessment scale with adequate sensitivity and specificity for the identification of Nigerian university students who are at risk of future suicidal behaviors. Objective The objective of this study was to examine the psychometric characteristics of the 4 item Suicidal Behaviors Questionnaire-Revised (SBQ-R) as a screening tool for suicide risk assessment among university undergraduate students in South-western Nigeria. Method This is a cross-sectional descriptive study involving 536 undergraduate Nigerian students. The students completed the SBQ-R, in addition to a sociodemographic and academic related questionnaire, the Hospital Anxiety and Depression Scale (HADS), and the 12 item General Health Questionnaire (GHQ-12). Suicidal risk categories among the students were determined by interviewing them with the items of the suicidality module section of the Mini International Neuropsychiatric Interview (MINI). Results Cronbach's alpha for the SBQ-R items was 0.80. Construct validity was supported through significant positive correlations with the HADS-Anxiety and Depression subscales, and the GHQ-12. Receiver Operating Characteristics (ROC) curve evaluation suggests that the best cut-off total score with the optimal sensitivity (0.882), specificity (0.875) and highest accuracy (0.879) was 8 in terms of identifying the students at high risk of suicide (Area Under the Curve = 0.928; 95% Confidence Interval = 0.890–0.966; Standard Error = 0.019). Conclusions The use of the SBQ-R may be an important and vital step in the prevention of suicidal attempts among Nigerian university students. © 2017 Elsevier B.V.";Asian Journal of Psychiatry;10.1016/j.ajp.2017.01.017;English;5;1;0;0;0;;;;0;
8;2020;"Amini-Tehrani, M.; Nasiri, M.; Jalali, T.; Sadeghi, R.; Ghotbi, A.; Zamanian, H.";Validation and psychometric properties of Suicide Behaviors Questionnaire-Revised (SBQ-R) in Iran;"Background: Suicide is increasing in young Iranian population, which necessitates the employing of valid, yet abridged instruments assessing the constellation of suicide-related behaviors. The study aimed at validating Suicide Behavior Questionnaire-Revised (SBQ-R) among Iranian undergraduates. Methods: A total of 487 undergraduates were surveyed in 2018. Construct validity of SBQ-R was examined via confirmatory factor analysis (CFA), and Spearman's correlation with two single-item indices of suicide acceptability (SA) and lifetime suicidal ideation (LSI) was determined. Logistic regression and Kruskal-Wallis tests were used to examine the cut-off points (? 7 and ? 8) and categorizations as per item 1. Results: The mean SBQ-R score was 5.79 ± 3.55. Cut-off points ? 7 and ? 8 categorized 150 (30.8%) and 123 (25.2%) samples with suicide risk, respectively. Women obtained significantly higher scores on all indices, except items 1 and 4. CFA confirmed the model with sound goodness-of-fit, with factor loadings of 0.70 to 0.83. Composite reliability and average variance extracted were 0.87 and 0.63, respectively. The SBQ-R's correlation with SA and LSI confirmed its concurrent validity. Regression analysis confirmed the ability of both cut-off points to distinguish the participants with high SA and LSI; however, the cut-off point ? 8 produced better results regarding high LSI. Based on item 1, normal versus low- and high-risk samples were significantly different in terms of SA, LSI, and adjusted total score of SBQ-R (P < 0.0001). Conclusion: SBQ-R is an economic and psychometrically sound tool, which can be utilized to identify suicide-related behaviors and risks in young Iranian population. © 2019 Elsevier B.V.";Asian Journal of Psychiatry;10.1016/j.ajp.2019.101856;English;4;1;0;0;0;;;;0;
154;2022;"Arafat, S. M. Yasir; Hussain, Fahad; Amin, Rizwana; Menon, Vikas; Islam, Md Khayrul; Redwan, A. S. M.; Khan, Md Abdullah Saeed";Psychometric Properties of the Bangla Brief Suicide Cognitions Scale among University Level Students;"Objectives: Assessment of suicide cognition would help to measure the enduring suicide risk and to predict the risk of a suicide attempt. However, no previous attempt was identified to validate the suicide cognition scale in Bangla. We aimed to assess the psychometric properties of the Brief Suicide Cognitions Scale (BSCS) in Bangla. Methods: We conducted this validation study among 529 medical and university students. We collected the responses by Google Forms with the translated version of BSCS from 20 August to 20 October 2022. We assessed internal consistency form of reliability, face validity, content validity, construct validity, concurrent validity, and discriminant validity. Results: The mean age of the respondents was 23.32 +/- 1.73 years; 52.5% were males, 92% were single, 75% were undergraduate students, 40.24% were studying in medical schools, 18.53% had a chronic illness, 9.45% had a mental illness, 4.16% had a family history of suicide, and 11.15% had previous nonfatal attempts. Cronbach's alpha was 0.84, and factor analysis revealed unidimensional construct with six items with a good model fit. The BSCS showed acceptable convergent and discriminant validity. Conclusion: This study assessed the psychometric properties of Bangla BSCS among students which found acceptable reliability and validity. Further studies could test the validation especially among clinical samples to assess the predictive validity of the instrument.";MENTAL ILLNESS;10.1155/2022/2327630;English;4;2;;0;0;;;;0;
31;2020;"Bano, Z.; Naz, I.; Mukhtar, M.";Development, validation and psychometric evaluation of the suicidality scale;Objective: The objective of the study was the devel opment, val i dati on and psychometri c evaluation of the suicidality scale: suicidal ideation, intention and attempts. Methodology: This cross sectional analytical st udy was car r i ed out at Depar t ment of Psychology, University of Gujrat from January 15th to May 25th 2019. The data were collected from adolescents using the convenience sampling technique. Firstly, the translation of Suicide Scale for Adolescents was conducted in in English. The forward-backward translation method was used for translation, which was followed by expert panel evaluation, linguistic and conceptual verification of measure and then a final English translated versi on was f i nal i zed. Furt her t est ret est administration was used for field administration of these items over 250 adolescents by self-report scale. For validation, samples of 70 adolescents were selected by using convenient sampling. Results: There was a correlation of test retest administration in between.312 to.688 of the 25 items. The model fit summary of Confirmatory Factor Analysis showed a p-value of 0.00 and the it was specified that if the p value is o.05 or less, the departure of the data from the model is significant at the 0.05 level. Therefore, the structure of the questions was confirmed. The reliability of the scale was.918 with established convergent (. 535**) and divergent (-.054). Conclusion: A reliable and valid translation of suicidality scale: suicidal ideation, intention and attempts English version was developed from already developed Urdu version. © 2020, Pakistan Medical Association. All rights reserved.;Rawal Medical Journal;;English;4;2;;0;0;;;;0;
153;2023;"Banos-Chaparro, Jonatan; Guillen, Fiorella Gaby Fuster";Psychometric evidence of the Roberts Suicidal Ideation Scale in Peruvian adolescents;"Suicidal ideation are thoughts related to death, with or without planning the place or the methods that would be used to kill oneself. Suicidal ideation has been shown to be more prevalent in adolescence, a crucial stage during human development. Identifying and intervening these problems is of utmost importance to prevent suicidal behaviors and the comorbidity of other psychological prob-lems that can worsen the mental and physical health of the adolescent. A complementary tool in clinical practice or basic research are psychometric instruments that allow evalu-ating non-observable constructs in the field of psychology, for example, suicidal ideation. Therefore, the objective of the study was to present the sources of validity evidence based on the content, internal structure and in the relationship with other variables of the Roberts Suicidal Ideation Scale in Peruvian adolescents.The study has an instrumental and cross-sec-tional design. 399 adolescents residing in Lima participated, selected through convenience sampling and inclusion criteria: a) be between 10 and 19 years old, b) place of residence in Lima and c) have accepted informed consent. Adolescents who did not meet these criteria were excluded from the study. All partici-pants answered three scales, which were: the Roberts Suicidal Ideation Scale, the Paykel Suicidal Ideation Scale and the Rosenberg Self-Esteem Scale. The last two scales have evidence of validity in the Peruvian adoles-cent population. In that sense, 237 (59.4 %) were women and 162 (40.6 %) were men. The mean age was 17.81 (SD = 1.03) in a range of 15 to 19 years. Likewise, additional questions were asked about suicidal behavior during the last 12 months, where 2.8 % considered seri-ously committing suicide, 2.5 % made suicide plans, and 2.5 % attempted suicide, but were unsuccessful.Regarding the results of the investiga-tion. In principle, three Peruvian psycholo-gists reviewed the content of the items and all considered that the items were represen-tative and relevant to explain the construct. Likewise, through the modeling of structural equations, a confirmatory factor analysis (CFA) was applied to analyze the internal structure of the scale, where it was evidenced that the structure was essentially one-dimen-sional (CFI = .99; RMSEA = .04 [90 % CI; .00-.12], SRMR = .01, WRMR = .30) and presented factorial loads (lambda) higher than .50. On the other hand, the internal consistency was acceptable omega = .84 [95 % CI: .81-.86] and reliability of the construct H = .94, showing that the items are homogeneous and coherent. The multigroup measurement invariance and its different conditions (configural, metric and strong) according to sex (women vs. men) and age (15 to 17 years vs. 18 to 19 years), was stable in the different restrictions and fulfilling the points of Suggested. Cut-off for the vari-ation of the fit indices: (Delta CFI < .01; Delta SRMR < .03), showing that the internal structure of the instrument is the same for the sex and age groups. Finally, a positive relationship was found (r = .35; p = .01) with another instru-ment that assesses suicidal ideation (thoughts of death, suicidal ideation and suicide attempt) and negative relationships with the positive dimension (r =-.31; p = .01) and negative dimension (r =-.25; p = .01) of self-esteem. All correlations had a minimal effect size.The research results suggest a one-dimen-sional factorial structure, adequate internal and construct consistency, coherent rela-tionship with other variables and invariance according to sex and age. The findings allow us to conclude and recommend of the Roberts Suicidal Ideation Scale scores for the specific use in Peruvian adolescents and compar-ison of groups (sex and age) are reliable and adequate.";INTERDISCIPLINARIA;10.16888/interd.2023.40.1.10;Spanish;2;2;;0;0;;;;0;
152;2022;"Banos-Chaparro, Jonatan; Reyes-Arquinego, Melisa";Suicidality Scale: Psychometric Evidences in Peruvian Adolescents;Quantitative, descriptive and cross-sectional study, whose objective was to analyse the sources of evidence of validity of the Suicidality Scale (SS) in Peruvian adolescents. 319 adolescents residing in the province of Ica -Peru participated, who answered the SS virtually. Structural Equation Modelling (SEM) and Item Response Theory (IRT) were applied in the statistical analysis. Results: 21% indicated that they had suicidal thoughts during the first wave of Covid-19. Likewise, the SS evidence a one-dimensional structure (CFI = .99, RMSEA = .05 [90% CI: .00-.13], SRMR = .02), acceptable reliability (omega = .87 and H = .96), suitable parameter values (alpha and beta) and latent trait information (theta), being useful in people with high levels of suicidality. Therefore, the SS proves to be a reliable, accessible and practical instrument to evaluate suicidality in Peruvian adolescents.;REVISTA DE LA UNIVERSIDAD DEL ZULIA;10.46925//rdluz.37.19;Spanish;2;2;;0;0;;;;0;
30;2015;"Bell, S.A.; Lori, J.; Redman, R.; Seng, J.";Psychometric validation and comparison of the self-Reporting questionnaire-20 and self-reporting Questionnaire-Suicidal ideation and behavior among Congolese refugee women;"Background: The Self-Reporting Questionnaire (SRQ) has long been used among refugee populations to detect common mental health disorders. Purpose: Our purpose was to compare findings from psychometric validation of the 20-item SRQ with a modified version, the SRQ-SIB (suicidal ideation and behavior). Methods: Factor analysis of both scales was performed in a sample of Congolese refugee women as well as predictive validity, contrast validity, and internal consistency. Results: Both scales exhibited a reliability of.911. The SRQ-SIB exhibited a three-factor solution; somatic, psychological, and SIB. The SIB was highly predictive for having experienced sexual violence. Analyses validate the use of both, but the SIB is useful for differentiating more severe cases of common mental disorder (CMD). Conclusions: The SRQ-SIB may be an important tool for the nursing assessment of suicide among refugee women. © 2015 Springer Publishing Company.";Journal of Nursing Measurement;10.1891/1061-3749.23.3.393;English;1;1;0;0;0;;;;0;
127;2015;"Carvalho, C.B.; Nunes, C.; Castilho, P.; da Motta, C.; Caldeira, S.; Pinto-Gouveia, J.";Mapping non suicidal self-injury in adolescence: Development and confirmatory factor analysis of the impulse, self-harm and suicide ideation questionnaire for adolescents (ISSIQ-A);Non-suicidal self-injury (NSSI) is the deliberate, self-inflicted destruction of body tissue without suicidal intent and an important clinical phenomenon. Rates of NSSI appear to be disproportionately high in adolescents and young adults, and is a risk factor for suicidal ideation and behavior. The present study reports the psychometric properties of the Impulse, Self-harm and Suicide Ideation Questionnaire for Adolescents (ISSIQ-A), a measure designed to comprehensively assess the impulsivity, NSSI behaviors and suicide ideation. An additional module of this questionnaire assesses the functions of NSSI. Results of Confirmatory Factor Analysis (CFA) of the scale on 1722 youths showed items' suitability and confirmed a model of four different dimensions (Impulse, Self-harm, Risk-behavior and Suicide ideation) with good fit and validity. Further analysis showed that youth[U+05F3]s engagement in self-harm may exert two different functions: to create or alleviate emotional states, and to influence social relationships. Our findings contribute to research and assessment on non-suicidal self-injury, suggesting that the ISSIQ-A is a valid and reliable measure to assess impulse, self-harm and suicidal thoughts, in adolescence. © 2015 Elsevier Ireland Ltd.;Psychiatry Research;10.1016/j.psychres.2015.01.031;English;3;1;0;0;0;;;;0;
14;2021;"Cassidy, S.A.; Bradley, L.; Cogger-Ward, H.; Rodgers, J.";Development and validation of the suicidal behaviours questionnaire - autism spectrum conditions in a community sample of autistic, possibly autistic and non-autistic adults;Background: Autistic people and those with high autistic traits are at high risk of experiencing suicidality. Yet, there are no suicidality assessment tools developed or validated for these groups. Methods: A widely used and validated suicidality assessment tool developed for the general population (SBQ-R), was adapted using feedback from autistic adults, to create the Suicidal Behaviours Questionnaire—Autism Spectrum Conditions (SBQ-ASC). The adapted tool was refined through nine interviews, and an online survey with 251 autistic adults, to establish clarity and relevance of the items. Subsequently, 308 autistic, 113 possibly autistic, and 268 non-autistic adults completed the adapted tool online, alongside self-report measures of autistic traits (AQ), camouflaging autistic traits (CAT-Q), depression (PHQ-9), anxiety (ASA-A), thwarted belongingness and perceived burdensomeness (INQ-15), lifetime non-suicidal self-injury, and the original version of the suicidality assessment tool (SBQ-R). Analyses explored the appropriateness and measurement properties of the adapted tool between the groups. Results: There was evidence in support of content validity, structural validity, internal consistency, convergent and divergent validity, test–retest validity, sensitivity and specificity (for distinguishing those with or without lifetime experience of suicide attempt), and hypothesis testing of the adapted tool (SBQ-ASC) in each group. The structure of the SBQ-ASC was equivalent between autistic and possibly autistic adults, regardless of gender, or use of visual aids to help quantify abstract rating scales. Limitations: The samples involved in the development and validation of the adapted tool were largely female, and largely diagnosed as autistic in adulthood, which limits the generalisability of results to the wider autistic population. The SBQ-ASC has been developed for use in research and is not recommended to assess risk of future suicide attempts and/or self-harm. The SBQ-ASC has been designed with and for autistic and possibly autistic adults, and is not appropriate to compare to non-autistic adults given measurement differences between these groups. Conclusions: The SBQ-ASC is a brief self-report suicidality assessment tool, developed and validated with and for autistic adults, without co-occurring intellectual disability. The SBQ-ASC is appropriate for use in research to identify suicidal thoughts and behaviours in autistic and possibly autistic people, and model associations with risk and protective factors. © 2021, The Author(s).;Molecular Autism;10.1186/s13229-021-00449-3;English;3;2;;0;1;1;0;0;0;repositorio institucional
6;2022;"Choi, Y.-H.; Yook, V.; Yang, K.; Cho, Y.; Lee, D.H.; Lee, H.J.; Lee, D.H.; Jeon, H.J.";Development and validation study of the suicide screening questionnaire-observer rating (SSQ-OR);Background: Observer rating scales are necessary to evaluate the risk of suicide because individuals at risk for suicide are often unwilling to seek help on their own. Reliability and validity were evaluated for the newly developed Suicide Screening Questionnaire-Observer Rating (SSQ-OR). Methods: Preliminary items were assessed by 251 experts online and 25 questions were selected. 328 individuals at high-risk and 661 controls from 12 Crisis Response Centers and 5 university counseling centers were recruited to complete SSQ-OR, Beck Scale for Suicide Ideation (BSSI) and Patient Health Questionnaire-9 (PHQ-9). In a 6 months follow-up, we reached out to 176 participants to ask whether they had experienced a suicidal thought, plan, or attempt since the baseline assessment. Cronbach's ?, Mann-Whitney U test, Spearman's correlation, factor analyses, Receiver operating characteristic (ROC) analysis and logistic regression analysis were used to verify the SSQ-OR. Results: Structural validity was supported by a two-factor solution using exploratory and confirmatory factor analyses. Excellent model fit indices for the two-factor structure using exploratory factor analysis were confirmed (RMSEA = 0.033, TLI = 0.980, CFI = 0.983). The SSQ-OR demonstrated strong internal consistency. The concurrent validity based on the correlations with other self-reported indicators of suicidal potential–BSSI and PHQ-9– revealed substantial relationships. The high-risk group was effectively characterized by a cut-off point of 4, with a sensitivity of 0.73 and a specificity of 0.79. The SSQ-OR scores were significant predictors of suicidal thoughts and behaviors within 6 months. Conclusions: The SSQ-OR exhibits sound psychometric properties, and could be used as a complement to a self-report or clinical-administered scale to screen suicide risk comprehensively. Copyright © 2022 Choi, Yook, Yang, Cho, Lee, Lee, Lee and Jeon.;Frontiers in Psychiatry;10.3389/fpsyt.2022.945051;English;4;2;;0;0;;;;0;
