Coder initials:,id,Please flag any of the following issues that prevent you from coding this article:,What is the 2016 journal impact factor? (skip if you cannot identify),What is the journal impact factor for the article's year of publication? (skip if you cannot identify),Which country is the corresponding author based in according to their affiliation?,Does the study include human or animal subjects?,What type of study is being reported?,How many times has the article been cited in a meta-analysis?,How many times has the article been explicitly excluded from a meta-analysis?,How many times has the article been cited in a systematic review?,How many times has the article been explicitly excluded from a systematic review?,How many times has the article been cited in a replication study?,Does the article state whether or not materials are available?,Please copy and paste the materials availability statement here:,How does the statement indicate the materials are available?,"Can you access, download, and open the materials files?",Does the article state whether or not data are available?,Please copy and paste the data availability statement here:,How does the statement indicate the data are available?,"Can you access, download, and open the data files?",Are the data files clearly documented?,Do the data files appear to contain all of the raw data necessary to reproduce the reported findings?,Does the article state whether or not analysis scripts are available?,Please copy and paste the analysis script availability statement here:,How does the statement indicate the analysis scripts are available?,"Can you access, download, and open the analysis files?",Does the article state whether or not the study (or some aspect of the study) was pre-registered?,Please copy and paste the pre-registration statement here:,Where does the article indicate the pre-registration is located?,Can you access and open the pre-registration?,What aspects of the study appear to be pre-registered? (select all that apply),Does the article link to an accessible protocol?,What aspects of the study appear to be included in the protocol? (select all that apply),Does the article claim to report a replication study or novel study?,Does the article include a statement indicating whether there were any conflicts of interest?,"Please copy and paste the conflict of interest statement here (enter ""none"" if there was no statement):",Does the article include a statement indicating whether there were funding sources?,"Please copy and paste the funding statement here (enter ""none"" if there was no statement):",Is the article open access?,eid,year,jnl,vol,iss,page,artno,title,doi,subjectArea,cites,abstract,journal,language,ASJC,KBclassification
SC/TH,aJdni,There are no issues,0.925,1.054,NA,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,No - there is no funding statement,none,Yes - found article via other means,84894713546,2014,Radic. Philos.,184,NA,7,NA,Kojève's letter to Stalin,NA,Arts and Humanities (miscellaneous),2,NA,Radical Philosophy,eng,AH SOC,LightOrange
SC/TH,ALCMU,There are no issues,1.927,0.881,United States of America,Neither,Empirical data - field study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,No - there is no funding statement,none,No - could not access article other than through paywall,84918842145,2014,Journal. Stud.,15,6,898,NA,The Evolution of an Expatriate Newspaper: As seen through editorial policies of the Paris Herald,10.1080/1461670X.2013.857799,Communication,0,"¬© 2013 Taylor & Francis. Although seldom the subject of scholarly inquiry, the expatriate newspaper is rich in research possibilities. These papers are a laboratory for understanding the evolution of American journalism. In the interest of exploring these possibilities, our study looks at one of the most venerable expatriate newspapers, the Paris Herald, which James Gordon Bennett, Jr. created in 1887 and carries on today with a different name under the ownership of the New York Times Co. The focus of our study is articles of opinion‚Äîeditorials, letters to the editor, and so forth‚Äîand the degree to which they express criticism of the United States. We find the amount and focus of criticism grew over time, a change that can be explained by the emergence of a diverse, globally-minded, English-speaking readership.",Journalism Studies,eng,SOC,LightOrange
TB/TH,ARBtm,There are no issues,NA,NA,Italy,Human,Empirical data - multiple study types are reported,0,0,1,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),Yes - the statement says that there is no conflict of interest,No potential conflict of interest was reported by the authors.,No - there is no funding statement,none,No - could not access article other than through paywall,84958036410,2016,Transp. Rev.,36,4,437,NA,Protection of Critical Waterborne Transport Infrastructures: An Economic Review,10.1080/01441647.2015.1137654,Transportation,0,"¬© 2016 Informa UK Limited, trading as Taylor & Francis Group. It is essential that transport infrastructures are protected against events which cause their failure. At an optimal level of protection, the sum of protection costs and expected residual damages following from disruptions will be minimized. In most cases however, this optimal level is not achieved because infrastructure protection is susceptible to various market and government failures. This brings us to the question who (a private or public actor) should do how much (the level of protection and intervention). This question is addressed in the present paper. The starting point of the paper is the Directive of the European Council on the identification and designation of European Critical Infrastructures. We review the protection of critical waterborne transport infrastructures from an economic perspective. The review is based on a literature study and several interviews with Critical Infrastructure experts. For the studied infrastructures, we have identified causes and effects of their failure and examined the private‚Äìpublic roles in protecting them. Considering the market and government failures which occur in such configuration of roles, we propose several changes. We conclude that from a national policy perspective there are two important routes: (1) reinforcement of private sector roles among others by defining liabilities and providing information on risks and (2) strengthening of supra-national collaboration via improving and standardizing regulations, cost-sharing initiatives and penalty systems.",Transport Reviews,eng,SOC,LightOrange
SC/TH,ASefN,There are no issues,4.029,4.376,United States of America,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,No - there is no funding statement,none,No - could not access article other than through paywall,84900034285,2014,Omega,48,NA,1,NA,Stochastic efficiency analysis with a reliability consideration,10.1016/j.omega.2014.04.001,Strategy and Management,15,Stochastic Data Envelopment Analysis (DEA) models have been introduced in the literature to assess the performance of operating entities with random input and output data. A stochastic DEA model with a reliability constraint is proposed in this study that maximizes the lower bound of an entity[U+05F3]s efficiency score with some pre-selected probability. We define the concept of stochastic efficiency and develop a solution procedure. The economic interpretations of the stochastic efficiency index are presented when the inputs and outputs of each entity follow a multivariate joint normal distribution. ¬© 2014 Elsevier Ltd.,Omega (United Kingdom),eng,BUS,LightOrange
SC/TH,aslQG,There are no issues,NA,NA,Cyprus,Human,Empirical data - field study,0,0,1,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,No - there is no funding statement,none,No - could not access article other than through paywall,84995580490,2016,Int. J. Pedagog. Learn.,11,2,145,NA,Promoting immigrant parental involvement in culturally-diverse schools through a multiple perspectives approach,10.1080/22040552.2016.1227254,Education,1,"¬© 2016 Informa UK Limited, trading as Taylor & Francis Group.The overarching purpose of this paper is to provide a number of important insights into immigrant parents‚Äô school involvement in Cyprus. Therefore, it examines the perspectives of all actors involved in the school‚Äìfamily partnership‚Äìnamely head-teachers, teachers, immigrant and native parents, and immigrant and native children‚Äìthrough a multiple perspectives approach. More specifically, this study aims to examine: (a) the ways in which immigrant parents‚Äô school involvement has been defined and implemented by head-teachers, teachers, parents‚Äô and children themselves; (b) the barriers to immigrant parents‚Äô involvement in Cypriot schools; and (c) the implications for the development and implementation of practices which promote immigrant parents‚Äô involvement in Cypriot schools. Last but not least, the study aims to indicate successful ways in which immigrant parents‚Äô school involvement may take place.",International Journal of Pedagogies and Learning,eng,SOC,LightOrange
SC/TH,bbLlx,There are no issues,3.196,3.196,United States of America,Human,Empirical data - survey,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,Yes - the statement says that there was funding from a public organization,This work was supported by the National Research Foundation of Korea (NRF) Grant funded by the Korean Government (MSIP) (No. 2015R1A5A7037751).,No - could not access article other than through paywall,84983535408,2016,Int. J. Contemp. Hosp. Manage.,28,8,1622,NA,An extended model of employees’ service innovation behavior in the airline industry,10.1108/IJCHM-03-2015-0109,"Tourism, Leisure and Hospitality Management",2,"¬© 2016, ¬© Emerald Group Publishing Limited. Purpose: This study aims to examine the relationships between three styles of conflict management [cooperative conflict management (COP), competitive conflict management (COM) and avoidance conflict management (AVO)], the subjective relational experience, perceived insider status, organization-based self-esteem and employees‚Äô service innovation behavior in the airline industry. Design/methodology/approach: Through both offline and online survey methods, a total of 304 Korean employees of eight airline firms in Asia were asked to complete the questionnaire. A structural equation modeling analysis was conducted to test the proposed hypotheses. Findings: COP and AVO had significant positive effects on the subjective relational experience, and COM had a significant negative effect on the subjective relational experience. In the subsequent process, the subjective relational experience had a significant positive effect on the perceived insider status but not on organization-based self-esteem and employees‚Äô service innovation behavior. Finally, the perceived insider status and organization-based self-esteem had significant positive effects on employees‚Äô service innovation behavior. Social implications: The results have important practical implications for developing human resource management (HRM) practices in airline firms. More specifically, airline firms should provide management training courses that encourage team leaders to create environments in which employees can form an attitude of ‚Äúwe are in it together‚Äù, collect conflict issues from employees in a unanimous manner and then resolve them smoothly without further problems and avoid treating conflicts as win-lose contests. These guidelines may help employees unwind from conflict situations and maintain positive relationships with their colleagues. Originality/value: Previous studies have paid little attention to effects of conflict management styles on employees‚Äô service innovation behavior through positive psychological experiences based on a holistic model. The results offer new insights into the extended model and have valuable implications for HRM practices in the airline industry.",International Journal of Contemporary Hospitality Management,eng,BUS,LightOrange
JW/TH,BbzLQ,There are no issues,1.333,1.189,United States of America,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,Yes - the statement says that there was funding from a public organization,Perron acknowledges financial support for this work from the National Science Foundation under Grant SES-0649350.,Yes - found via Open Access Button,84961201780,2016,Econom. Rev.,35,5,782,NA,On the Usefulness or Lack Thereof of Optimality Criteria for Structural Change Tests,10.1080/07474938.2014.977621,Economics and Econometrics,0,"© 2016, Copyright © Taylor & Francis Group, LLC.Elliott and Müller (2006) considered the problem of testing for general types of parameter variations, including infrequent breaks. They developed a framework that yields optimal tests, in the sense that they nearly attain some local Gaussian power envelop. The main ingredient in their setup is that the variance of the process generating the changes in the parameters must go to zero at a fast rate. They recommended the so-called qL̂L test, a partial sums type test based on the residuals obtained from the restricted model. We show that for breaks that are very small, its power is indeed higher than other tests, including the popular sup-Wald (SW) test. However, the differences are very minor. When the magnitude of change is moderate to large, the power of the test is very low in the context of a regression with lagged dependent variables or when a correction is applied to account for serial correlation in the errors. In many cases, the power goes to zero as the magnitude of change increases. The power of the SW test does not show this non-monotonicity and its power is far superior to the qL̂L test when the break is not very small. We claim that the optimality of the qL̂L test does not come from the properties of the test statistics but the criterion adopted, which is not useful to analyze structural change tests. Instead, we use fixed-break size asymptotic approximations to assess the relative efficiency or power of the two tests. When doing so, it is shown that the SW test indeed dominates the qL̂L test and, in many cases, the latter has zero relative asymptotic efficiency.",Econometric Reviews,eng,ECON,LightOrange
SC/TH,BfdMv,There are no issues,NA,NA,United States of America,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,No - there is no funding statement,none,No - could not access article other than through paywall,84942818677,2015,J. Financ. Econ.,117,2,398,NA,Signal or noise? Uncertainty and learning about whether other traders are informed,10.1016/j.jfineco.2015.05.003,Accounting,1,"¬© 2015 Elsevier B.V. We develop a model where some investors are uncertain whether others are trading on informative signals or noise. Uncertainty about others leads to a nonlinear price that reacts asymmetrically to news. We incorporate this uncertainty into a dynamic setting where traders gradually learn about others and show that it generates empirically relevant return dynamics: expected returns are stochastic but predictable, and volatility exhibits clustering and the""leverage""effect. The model nests both the rational expectations (RE) and differences of opinions (DO) approaches and highlights a link between disagreement about fundamentals and uncertainty about other traders.",Journal of Financial Economics,eng,BUS ECON,LightOrange
MK/TH,bHdsK,There are no issues,NA,NA,Canada,Human,Empirical data - survey,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,No - there is no funding statement,none,Yes - found article via other means,84941077113,2015,Corp. Ownersh. Control,13,1CONT4,435,NA,Factors affecting ethical sources of external debt financing for indian agribusiness firms,NA,"Business, Management and Accounting (all)",0,"© 2015, Virtus Interpress. All rights reserved.Majority of the Indian farmers are financially constrained and pay very high interest rate to private moneylenders which has a negative impact on the survivability and growth of agribusiness firms. Because of less strict debt financing requirements farmers become prey to predatory lenders from private lending institutions that are not controlled by the central bank and may not behave in an ethical way. The study investigates factors affecting ethical sources of external debt financing by taking a sample of Indian agribusiness firms. Owners of agribusiness firms were interviewed through personal visits and telephone calls regarding the factors affecting ethical sources of external debt financing. The findings show that several factors affect ethical sources of external debt financing for agribusiness firms in India. This study contributes to the literature on the factors that affect ethical sources of external debt financing. This study also provides recommendations to improve access to ethical sources of external debt financing. The findings may be useful for agribusiness owners (farmers), financial managers, investors, agribusiness management consultants, entrepreneurs, and other stakeholders.",Corporate Ownership and Control,eng,BUS,LightOrange
TB/TH,BHjwc,There are no issues,2.258,2.004,United States of America,Human,Empirical data - survey,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,No - there is no funding statement,none,No - could not access article other than through paywall,84995570263,2017,Eating Behav.,24,NA,1,NA,"Missing and discrepant data on the Eating Disorder Examination Questionnaire (EDE-Q): Quantity, quality, and implications",10.1016/j.eatbeh.2016.11.002,Clinical Psychology,0,"¬© 2016The aim of this study was to examine relations among missing and discrepant data on the Eating Disorders Examination Questionnaire (EDE-Q; Fairburn & Beglin, 1994) and individual demographic factors and eating disorder symptoms. Data from 3968 men and women collected in five independent studies were examined. Descriptive statistics were used to detect the quantity of missing and discrepant data, as well as independent samples t-tests and chi-square analyses to examine group differences between participants with and without missing or discrepant data. Results indicated significant differences in data completeness by participant race/ethnicity and severity of eating disorder symptoms. White participants were most likely to provide complete survey responses, and Asian American participants were least likely to provide complete survey responses. Participants with incomplete surveys reported greater eating disorder symptoms and behaviors compared with those with complete surveys. Similarly, those with discrepant responses to behavioral items reported greater eating disorder symptoms and behaviors compared with those with congruent responses. Practical implications and recommendations for reducing and addressing incomplete data on the EDE-Q are discussed.",Eating Behaviors,eng,PSY,LightOrange
