Timestamp,Coder initials:,Article ID:,Please flag any of the following issues that prevent you from coding this article:,How many times has the article been cited in a meta-analysis?,"How many times was the article cited *incidentally* in a meta-analysis (i.e., no intention to include in data synthesis)?",How many times has the article been explicitly excluded from a meta-analysis?,How many times has the article been cited in a systematic review?,"How many times was the article cited *incidentally* in a systematic review (i.e., no intention to include in formal review)?",How many times has the article been explicitly excluded from a systematic review?,How many times has the article been cited in a replication study?,Does the article state whether or not materials are available?,Please copy and paste the materials availability statement here:,How does the statement indicate the materials are available?,"Can you access, download, and open the materials files?",Does the article state whether or not data are available?,Please copy and paste the data availability statement here:,How does the statement indicate the data are available?,"Can you access, download, and open the data files?",Are the data files clearly documented?,Do the data files appear to contain all of the raw data necessary to reproduce the reported findings?,Does the article state whether or not analysis scripts are available?,Please copy and paste the analysis script availability statement here:,How does the statement indicate the analysis scripts are available?,"Can you access, download, and open the analysis files?",Does the article state whether or not the study (or some aspect of the study) was pre-registered?,Please copy and paste the pre-registration statement here:,Where does the article indicate the pre-registration is located?,Can you access and open the pre-registration?,What aspects of the study appear to be pre-registered? (select all that apply),Does the article link to an accessible protocol?,What aspects of the study appear to be included in the protocol? (select all that apply),Does the article claim to report a replication study or novel study?,Does the article include a statement indicating whether there were any conflicts of interest?,"Please copy and paste the conflict of interest statement here (enter ""none"" if there was no statement):",conflictType,Does the article include a statement indicating whether there were funding sources?,"Please copy and paste the funding statement here (enter ""none"" if there was no statement):",Is the article open access?,What is the 2017 journal impact factor? (skip if you cannot identify),What is the journal impact factor for the article's year of publication? (skip if you cannot identify),Which country is the corresponding author based in according to their affiliation?,Does the study include human or animal subjects?,What type of study is being reported?
9/30/18,RT/TH,gPksV,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,No - there is no funding statement,none,Yes - found article via other means,3.786,3.786,The Netherlands,Neither,Data synthesis - meta-analysis
9/30/18,RT/TH,FnSIg,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,The article claims to report a replication study (or studies),Yes - the statement says that there is no conflict of interest,The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.,NA,No - there is no funding statement,none,Yes - found via Open Access Button,2.089,2.463,Israel,Human,Empirical data - laboratory study
9/30/18,RT/TH,VEDlR,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,Yes - the statement says that there was funding from a public organization(s),"This work was supported by the Key Project of Philosophy and
Social Sciences Research, Ministry of Education (13JZD048); the
National Natural Science Foundation of China (31271087 and
31571137).",No - could not access article other than through paywall,3.786,3.786,China,Human,Empirical data - laboratory study
9/30/18,RT/TH,GiiWG,There are no issues,0,0,0,0,0,0,0,Yes - the statement says that the materials (or some of the materials) are available,All data and materials have been made publicly available at figshare and can be accessed at https://dx-doi-org.stanford.idm.oclc.org/10.6084/m9.figshare.c.3468495.v2.,"An online third party repository (e.g., OSF, Figshare, etc.)",Yes,Yes - the statement says that the data (or some of the data) are available,All data and materials have been made publicly available at figshare and can be accessed at https://dx-doi-org.stanford.idm.oclc.org/10.6084/m9.figshare.c.3468495.v2.,"An online third party repository (e.g., OSF, Figshare, etc.)",Yes,Yes,Yes,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,The article claims to report a replication study (or studies),Yes - the statement says that there is no conflict of interest,The authors declared that they had no conflicts of interest with respect to their authorship or the publication of this article.,NA,No - there is no funding statement,none,Yes - found article via other means,6.128,6.128,United States of America,Human,Empirical data - laboratory study
9/30/18,RT/TH,KANjd,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes - the statement says that there is no conflict of interest,"Conflict of interest statement
None declared.",NA,No - there is no funding statement,none,Yes - found article via other means,NA,NA,United States of America,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
10/15/18,RT/TH,oSCmE,There are no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,NA,No - there is no funding statement,none,No - could not access article other than through paywall,0.486,0.486,Germany,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)"
10/15/18,RT/TH,IPdKR,Article is not English language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.922,0.789,Spain,Human,Empirical data - survey/interview
10/15/18,RT/TH,fruLn,Article is not English language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,Human,Empirical data - laboratory study
10/15/18,RT/TH,qjbem,There are no issues,0,0,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,NA,Yes - the statement says that there was funding from a public organization(s),"This research is part of the project Surveillance in Urban Nightscapes, financed by the Netherlands Organization for Scientific Research (NWO), grant MVI-313-99-140.",No - could not access article other than through paywall,1.916,NA,The Netherlands,Human,Empirical data - survey/interview
10/15/18,RT/TH,xRmhu,There are no issues,0,0,0,0,0,0,0,Yes - the statement says that the materials (or some of the materials) are available,The online supplemental material is available at http://pspb.sagepub.com/supplemental.,Supplementary information hosted by the journal,Yes,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,The article claims to report a replication study (or studies),Yes - the statement says that there is no conflict of interest,"The author(s) declared no potential conflicts of interest with respect to the research, authorship, and/or publication of this article.",NA,Yes - the statement says that there was funding from a public organization(s),"The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This material is based on work supported by a National Science Foundation Graduate Research Fellowship to Matthew D. Rocklage.",Yes - found article via other means,2.498,2.504,United States of America,Human,Empirical data - laboratory study
