"doi","Journal","Publication_year","Publication_year.2","statistical.analysis.and.or.simulations.2","bioinformatic.analysis","additional.comment.on.analysis","analysis_software_names","num.software.calculated","num.software_with_version","num.packages","num.packages.calculated","num.packages_with_version","CodeShared","CodeShared.2","LinktoCode","LocationShared","Repository","FreeSoftware","FreeSoftware.2","DataUsed","DataShared","DataShared.2","ExtraComments","comments_AB","comments_on_AB"
"10.1111/1755-0998.12981","MOLECULAR ECOLOGY RESOURCES",2019,"2018-2019","yes","yes","sequencing, penalized lasso regularization paths, lms, subsampling procedure, Tukeys tests, ANOVAs","R",1,0,"1","1","0","yes","yes","https://datadryad.org/resource/doi:10.5061/dryad.n4h3672","repository","Dryad","yes","yes","yes","yes","yes","NA",NA,NA
"10.1098/rspb.2018.2778","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2019,"2018-2019","yes","no","GAMLSS, pairwise comparisons, AIC, Tukey tests, lms","R and Dinoxcope",2,2,"2","2","0","partially","yes","https://extavourlab.github.io/TransgenerationalEffectOfNutrition/","version control platform","GitHub","yes","yes","yes","yes","yes","NA",NA,NA
"10.1002/ecs2.2561","ECOSPHERE",2019,"2018-2019","yes","no","regressions and several indices/metrics (e.g. FQI)","Not Stated",NA,NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","no","no","open access, software used for the analyses unknown",NA,NA
"10.1111/1365-2656.12927","JOURNAL OF ANIMAL ECOLOGY",2019,"2018-2019","yes","yes","lmms, repeatability, correlations","Linregpcr and R",2,1,"2","2","0","no","no","NA","NA","NA","yes","yes","yes","yes","yes","R and R packages not properly cited, and R packages version not provided",NA,NA
"10.1098/rspb.2019.0396","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2019,"2018-2019","yes","no","lms, ANOVAs, Analysis of deviance, glms","Systat and R",2,0,"1","1","0","no","no","NA","NA","NA","partially","yes","yes","yes","yes","R version not provided",NA,NA
"10.1002/ecs2.2660","ECOSPHERE",2019,"2018-2019","yes","no","multiple regressions, correlations, Shapiro-Wilk W tests, lms","JMP Pro",1,1,"0","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","open access",NA,NA
"10.1002/ecs2.2585","ECOSPHERE",2019,"2018-2019","yes","no","correlations, boosted regression trees","Not Stated",NA,NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","yes","yes","open access, software used for the analyses unknown",NA,NA
"10.1111/mec.14979","MOLECULAR ECOLOGY",2019,"2018-2019","yes","no","glmms, glms, AIC, correlations, bootstrapping","R",1,0,"5","5","0","no","no","NA","NA","NA","yes","yes","yes","yes","yes","R packages versions of 4 out of 5 packages not provided",NA,NA
"10.1002/ecs2.2638","ECOSPHERE",2019,"2018-2019","yes","no","correlations, AIC, randomizations, PGLS","R",1,1,"8","8","7","yes","yes","https://doi.org/10.1002/ecs2.2638","supplementary file","NA","yes","yes","yes","no","no","open access, code is available because paper open access, DataS1 contains a code and a pdf with explanations for the code, no data. Somehow it feels like they would have forgotten to add the data to that zip. DataS1 is referred to in the text in methods but it is referred for the data, odd",NA,NA
"10.1098/rspb.2019.0365","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2019,"2018-2019","yes","no","lms, correlations, modelling simulations","ImageJ and Minitab",2,1,"0","0","NA","partially","yes","https://datadryad.org/resource/doi:10.5061/dryad.k7m5vf4","repository","Dryad","partially","yes","yes","yes","yes","open access, the minitab was used for the statistical analyses, but the code (if any) does not seem availabe",NA,NA
"10.1111/1365-2656.12902","JOURNAL OF ANIMAL ECOLOGY",2019,"2018-2019","yes","no","glmms, t tests, mantel tests","R and Estimates",2,1,"2","2","0","no","no","NA","NA","NA","yes","yes","yes","yes","yes","R packages not properly cited and versions not provided either",NA,NA
"10.1111/1365-2745.13131","JOURNAL OF ECOLOGY",2019,"2018-2019","yes","no","glmms, AIC","SAS",1,1,"0","0","NA","no","no","NA","NA","NA","no","no","yes","yes","yes","NA",NA,NA
"10.1002/ecm.1339","ECOLOGICAL MONOGRAPHS",2019,"2018-2019","yes","no","correlations, manova, permanova, PCA","R and Primer",2,1,"0","0","NA","no","no","NA","NA","NA","yes","yes","yes","yes","yes","open access, R not even mentioned but the use the R package ""MixSIAR""",NA,NA
"10.1038/s41437-018-0083-0","HEREDITY",2019,"2018-2019","yes","no","lms, animal models, bootstraping, multivariate mixed models","R",1,0,"0","0","NA","no","no","NA","NA","NA","yes","yes","yes","yes","yes","open access, despite using R, they use ASREML, which is not free",NA,NA
"10.1111/1365-2745.13108","JOURNAL OF ECOLOGY",2019,"2018-2019","yes","no","hierarchical Bayesian glm, lmms","R and JAGS",2,0,"5","5","0","partially","yes","https://datadryad.org/resource/doi:10.5061/dryad.3555bh3","repository","Dryad","yes","yes","yes","yes","yes","open access, JAGS called through R via R package rjags. Bates et al. 2015 cited after referring to lmms, which is the citation generally used for lme4, but lme4 not mentioned and not in the code",NA,NA
"10.1002/ecs2.2640","ECOSPHERE",2019,"2018-2019","yes","no","ANOVAs, lmms, glmms, AIC","R",1,1,"3","3","0","yes","yes","https://doi.org/10.1002/ecs2.2640","supplementary file","NA","yes","yes","yes","yes","yes","open access, code is available because paper open access",NA,NA
"10.1098/rspb.2018.1887","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2019,"2018-2019","yes","yes","PERMANOVA, sequencing, PERMDISP, NMDS, glm, glmms","Primer and R",2,1,"2","2","0","no","no","NA","NA","NA","partially","yes","yes","yes","yes","open access, R not properly cited, and R and R packages versions not provided. PRIMER is indeed a statistical software",NA,NA
"10.1038/s41437-018-0081-2","HEREDITY",2019,"2018-2019","yes","no","ANOVAs, G-tests","R",1,1,"0","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","R packages used not provided, only R in general",NA,NA
"10.1038/s41437-018-0172-0","HEREDITY",2019,"2018-2019","yes","yes","RR-BLUP, Generalized ridge regression, Bayesian B analysis, heritabilities, correlations, lmms","R and Asreml",2,2,"2","2","0","no","no","NA","NA","NA","yes","yes","yes","yes","yes","open access, R package version for 1 out of 3 packages not provided, R not properly cited and R version not provided. ASReml used, which is not free despite being in R. Not sure whether to call part of this paper bioinformatics too, I lean towards no",NA,NA
"10.1111/1365-2745.13106","JOURNAL OF ECOLOGY",2019,"2018-2019","yes","no","lms, AIC, lmms","R",1,1,"8","8","0","no","no","NA","NA","NA","yes","yes","yes","yes","yes","R and R packages not properly cited, and R packages versions not provided",NA,NA
"10.1002/ecs2.2580","ECOSPHERE",2019,"2018-2019","yes","no","correlations, lms, lmms, glmms, Tukey post-hoc tests","R",1,1,"4","4","1","no","no","NA","NA","NA","yes","yes","yes","no","no","open access, R packages versions not provided (except 1), despite so many or all of the functions used named, which helps a bit with reproducibility",NA,NA
"10.1111/1365-2435.13243","FUNCTIONAL ECOLOGY",2019,"2018-2019","yes","no","LRT, lmms","Thermacam and ImageJ and R",3,3,"1","1","0","no","no","NA","NA","NA","yes","yes","yes","yes","yes","R packages versions of 2 out of 3 packages used not provided",NA,NA
"10.1111/1755-0998.12973","MOLECULAR ECOLOGY RESOURCES",2019,"2018-2019","yes","yes","PCA, correlations, sequencing","Microsoft Excel and Pro Software",2,0,"0","0","NA","no","no","NA","NA","NA","no","no","yes","yes","yes","open access",NA,NA
"10.1111/1365-2664.13340","JOURNAL OF APPLIED ECOLOGY",2019,"2018-2019","yes","no","lmms, correlations, AIC","Arcmap and R",2,2,"1","1","0","no","no","NA","NA","NA","yes","yes","yes","yes","yes","R packages versions not provided",NA,NA
"10.1111/1365-2664.13296","JOURNAL OF APPLIED ECOLOGY",2019,"2018-2019","yes","no","correlations, SEM, lmms, AIC","R",1,1,"3","3","0","no","no","NA","NA","NA","yes","yes","yes","yes","yes","R packages versions of 1 out of 3 not provided, R version not provided",NA,NA
"10.1111/1755-0998.12958","MOLECULAR ECOLOGY RESOURCES",2019,"2018-2019","yes","no","tool for simulating evolution of tree populations, comparative analyses","C++ and R and Python and Lua and Matpotlib",5,0,"2","2","0","yes","yes","https://quercusportal.pierroton.inra.fr/index.php?p=METAPOP","webpage","NA","yes","yes","yes","yes","yes","code hosted in a webpage of a European project called quercusportal.pierroton.inra.fr/",NA,NA
"10.1111/1365-2664.13258","JOURNAL OF APPLIED ECOLOGY",2019,"2018-2019","yes","no","cluster analysis, metapopulation modelling","R",1,0,"1","1","0","no","no","NA","NA","NA","yes","yes","yes","no","no","R not properly cited, R and R package version not provided, software used for the metapopulation modelling unknown. Data not shared on the basis of All data used in the article was sourced from the published literature and citations to all sources are provided in the text",NA,NA
"10.1086/700838","AMERICAN NATURALIST",2019,"2018-2019","yes","no","PCAs and mixed models performed","R",1,0,"7","7","0","yes","yes","https://datadryad.org/stash/dataset/doi:10.5061/dryad.62dk17g","repository","Dryad","yes","yes","yes","yes","yes","NA",NA,NA
"10.1111/1365-2664.13281","JOURNAL OF APPLIED ECOLOGY",2019,"2018-2019","yes","no","boosted regression trees, leave-one-out","R",1,0,"6","6","0","yes","yes","https://zenodo.org/record/1410674#.XSzS2eszbb0","repository","Zenodo and GitHub","yes","yes","yes","no","no","open access, code originally in Github but archived via Zenodo (which gives it a doi), data for case example not provided. The paper is about the method/framework, very limited stats",NA,NA
"10.1111/1365-2664.13267","JOURNAL OF APPLIED ECOLOGY",2019,"2018-2019","yes","no","ANOVAs, NMDS, multi response permutation procedure, lmms, regression model","R and SAS and PC-ORD",3,3,"1","1","0","no","no","NA","NA","NA","partially","yes","yes","yes","yes","R package version not provided",NA,NA
"10.1038/s41437-018-0131-9","HEREDITY",2019,"2018-2019","yes","yes","t tests, chi-square tests, Fishers tests, glms, bioinformatic analyses","SAS",1,0,"0","0","NA","no","no","NA","NA","NA","no","no","yes","partially","yes","NA",NA,NA
"10.1111/1365-2664.13299","JOURNAL OF APPLIED ECOLOGY",2019,"2018-2019","yes","no","glms, Tukey tests, MANOVA, canonical discriminant analysis, redundancy analysis, ANOVAs","R",1,1,"3","3","1","yes","yes","https://datadryad.org/resource/doi:10.5061/dryad.1dr748t","repository","Dryad","yes","yes","yes","yes","yes","NA",NA,NA
"10.1002/ecs2.2588","ECOSPHERE",2019,"2018-2019","yes","no","t tests, ANOVAs, Tukey tests","Not Stated",NA,NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","no","no","open access, software used for the analyses unknown",NA,NA
"10.1111/1365-2664.13298","JOURNAL OF APPLIED ECOLOGY",2019,"2018-2019","yes","no","glmms, autocorrelations, ANOVAs, glms","R",1,0,"2","2","0","no","no","NA","NA","NA","yes","yes","yes","yes","yes","open access, R and R packages not properly cited, and their versions not provided either",NA,NA
"10.1111/1365-2435.13275","FUNCTIONAL ECOLOGY",2019,"2018-2019","yes","no","lms, survival models, lmms, glms","R",1,1,"0","0","NA","no","no","NA","NA","NA","yes","yes","yes","yes","yes","R packages used not provided, only R in general",NA,NA
"10.1038/s41437-018-0154-2","HEREDITY",2019,"2018-2019","yes","no","survival analyses, bayesian mixed models, animal models","R",1,1,"2","2","2","yes","yes","https://github.com/EGKingLab/h2lifespan","version control platform","GitHub","yes","yes","yes","yes","yes","NA",NA,NA
"10.1038/s41437-018-0080-3","HEREDITY",2019,"2018-2019","yes","no","lms, correlation, canonical analyses","Not Stated",NA,NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","yes","yes","software used for the analyses unknown",NA,NA
"10.1111/mec.14986","MOLECULAR ECOLOGY",2019,"2018-2019","yes","yes","correlations, GWAS, sequencing","Aligner and Lifescope and Samtools and Pcard and Genome Analysis Toolkit and Freebayes and Beagle and Perl and Plink and Snmf and Sambada and Webgestalt and R",13,12,"1","1","0","partially","yes","https://doi.org/10.1111/mec.14986","supplementary file","NA","yes","yes","yes","yes","yes","There is some code available in the supplements, but do not know the language, at the end of it it says  Custom Perl scripts were used for the following analyses (available on request to matthew.webster@imbim.uu.se)",NA,NA
"10.1038/s41437-018-0174-y","HEREDITY",2019,"2018-2019","yes","yes","discriminant analysis of principal components (adegenet package), simulations, bioinformatics (e.g. sequences aligment)","Genemapper and Bioedit and Mega and Genetix and Dnasp and R and Structure and Newhybrids",8,5,"1","1","0","partially","yes","https://doi.org/10.1038/s41437-018-0174-y","supplementary file","NA","yes","yes","yes","yes","yes","the R code provided is for the discriminant analysis, the software used for the simulations is unknown, and no code is available. The discriminant analysis performed seems specific for genetic data using the package adegenet",NA,NA
"10.1086/701799","AMERICAN NATURALIST",2019,"2018-2019","yes","no","both statistical analyses and simulations, an R package was also used but the code was not reported","SAS and R",2,1,"1","1","0","yes","yes","https://datadryad.org/resource/doi:10.5061/dryad.5670c6n","repository","Dryad","partially","yes","yes","yes","yes","NA",NA,NA
"10.1111/1365-2745.13075","JOURNAL OF ECOLOGY",2019,"2018-2019","yes","no","PCAs, DIC, lms, allometric analyses, glmms","R and JAGS",2,0,"1","1","0","no","no","NA","NA","NA","yes","yes","yes","yes","yes","R package version not provided, R not cited and version not provided (despite being mentioned in the acknoledgements) The citation for JAGS is missing for the list of references but I only have access to the sci-hub version which is the one before type setting, it seems.",NA,NA
"10.1111/1755-0998.12996","MOLECULAR ECOLOGY RESOURCES",2019,"2018-2019","yes","no","lmms, variance ratio tests, correlations","R and JMP",2,2,"0","0","NA","no","no","NA","NA","NA","partially","yes","yes","yes","yes","open access, not clear what analyses where done with which software so there might be noncited packages",NA,NA
"10.1086/702717","AMERICAN NATURALIST",2019,"2018-2019","yes","no","lmms","R",1,0,"1","1","0","partially","yes","https://doi.org/10.1086/702717","supplementary file","NA","yes","yes","yes","yes","yes","code is accessible because paper is open access. Data to test the model obtained from a previous publication, in which the data was made available",NA,NA
"10.1002/ecs2.2597","ECOSPHERE",2019,"2018-2019","yes","no","correlations, lmms, AIC","STATA",1,1,"0","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","open access",NA,NA
"10.1111/2041-210X.12968","METHODS IN ECOLOGY AND EVOLUTION",2018,"2018-2019","yes","yes","multivariate regression, PCA","R",1,0,"1","1","1","no","no","NA","NA","NA","yes","yes","yes","yes","yes","open access, dataset used in the illustration is provided with the R package contributed to (ADEGENET), which is, of course, open but the code used to reproduce the simulated data is not available despite that it is written The R script required to reproduce the simulated data and run the analyses are provided in Supplementary Material. R version not provided",NA,NA
"10.1111/1365-2435.13099","FUNCTIONAL ECOLOGY",2018,"2018-2019","yes","no","regressions, phylogenetic mixed models, glms","R",1,1,"2","2","0","no","no","NA","NA","NA","yes","yes","yes","no","no","ASReml-R used, which is not free. R packages versions not provided. This is a sort of meta-analysis and the authors argue that they do not need to provide the data because ""no new data are contained in this manuscript"". All statistical information only available in the supplements",NA,NA
"10.1111/mec.14570","MOLECULAR ECOLOGY",2018,"2018-2019","yes","yes","glms, permutations, genotyping, pedigree construction, correlations, AIC","R and Genemarker and Colony",3,2,"5","5","1","yes","yes","https://datadryad.org/resource/doi:10.5061/dryad.bq868sh","repository","Dryad","yes","yes","yes","yes","yes","NA",NA,NA
"10.1098/rspb.2018.2075","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","yes","no","cox mixed models, glmms, AIC","R",1,1,"4","4","2","yes","yes","https://datadryad.org/resource/doi:10.5061/dryad.k455v5c","repository","Dryad","yes","yes","yes","yes","yes","R package version of 1 out of 4 packages not provided",NA,NA
"10.1098/rspb.2017.2714","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","yes","no","lms, mixed models","JMP",1,0,"0","0","NA","no","no","NA","NA","NA","no","no","yes","yes","yes","Data used come from other studies that published their data in dryad, and therefore, since data is available, datashared = yes",NA,NA
"10.1111/2041-210X.12855","METHODS IN ECOLOGY AND EVOLUTION",2018,"2018-2019","yes","no","the method is a simulation tool, correlations","R",1,1,"1","1","0","yes","yes","https://zenodo.org/record/831710#.XTGa5eszbb0","repository and supplementary file","Zenodo and GitHub","yes","yes","yes","yes","yes","code originally in Github but archived via Zenodo (which gives it a doi), all data is simulated, since code is provided datashared=yes",NA,NA
"10.1098/rspb.2018.1452","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","yes","no","hurdle models, glms, lms, lmms","R",1,1,"2","2","0","no","no","NA","NA","NA","yes","yes","yes","yes","yes","open access, R packages versions not provided",NA,NA
