"Title","Journal","Publication_year","Publication_year.2","statistical.analysis.and.or.simulations","bioinformatic.analysis","additional.comment.on.analysis","analysis_software_names","num.software.calculated","num.software_with_version","num.packages","num.packages_with_version","CodeShared","CodeShared.2","LinktoCode","LocationShared","Repository","FreeSoftware","FreeSoftware.2","DataUsed","DataShared","DataShared.2","ExtraComments","CommentonComments","Screener"
"Habitat choice and complex decision making in a trap-building predator","BEHAVIORAL ECOLOGY",2016,"2015-2016","yes","no","Fisher’s exact test, log-linear model, paired t-test, 2-way Ancova","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","no","no","NA","NA","AC, MP, AB"
"A comparative framework to infer landscape effects on population genetic structure: are habitat suitability models effective in explaining gene flow?","LANDSCAPE ECOLOGY",2015,"2015-2016","yes","yes","multi-model landscape genetic approach, factorial multi-model approach, resistance models, model evaluation, univariate/multivariate optimization, habitat suitability models, Mantel test, reciprocial causal modeling","R",1,"0","1","0","no","no","NA","NA","NA","yes","yes","yes","no","no","ecodist package in R; FRAG-STATS 3.4 to calculate a set of metrics quantifying different aspects of landscape structure","NA","AC, MP, AB"
"A dark cuticle allows higher investment in immunity, longevity and fecundity in a beetle upon a simulated parasite attack","OECOLOGIA",2016,"2015-2016","yes","no","Kolmogorov–Smirnov test, ANOVA, Cox proportional hazards model, linear mixed model","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","no","no","Imagj software used for immage analysis. conducted immune asseys","NA","AC, MP, AB"
"A decomposition analysis of CO2 emissions: evidence from Malaysia's tourism industry","INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY",2016,"2015-2016","yes","no","Unit root tests, Bound tests, Granger causality tests","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","no","no","NA","NA","AC, MP, AB"
"Climate as an agent of change in forest landscapes","LANDSCAPE ECOLOGY",2016,"2015-2016","yes","no","DISTRIB II model, SHIFT model","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","partially","yes","Predictors used for the DISTRIB II model","NA","AC, MP, AB"
"A new cost-effective approach to survey ecological communities","OIKOS",2016,"2015-2016","yes","no","Simulation of ecological communities (Species-abundance distributions), clustering (Matérn cluster proces), correlation, PCA","R",1,"0","4","1","no","no","NA","NA","NA","yes","yes","yes","no","no","‘spatstat’ package authors and version in references; they simulate data and use data from another study (that are not available)","NA","AC, MP, AB"
"A portable, modular, self-contained recirculating chamber to measure benthic processes under controlled water velocity","FRESHWATER SCIENCE",2015,"2015-2016","yes","no","linear regression","R",1,"1","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","data shared in a Fig 6, so only graphically","NA","AC, AB"
"A test of energetic trade-offs between growth and immune function in watersnakes","OECOLOGIA",2015,"2015-2016","yes","no","mixed-effect models","R",1,"0","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AC, AB"
"Accounting for the causal basis of collinearity when measuring the effects of habitat loss versus habitat fragmentation","OIKOS",2016,"2015-2016","yes","no","simulations, multiple regression, path analysis, lavaans x2 test","R",1,"1","2","1","no","no","NA","NA","NA","yes","yes","no","NA","NA","mention that they have used base package of R, but this is not counted as a package (agreed between AST and AC)","NA","AC, AST"
"Adjustment of costly extra-group paternity according to inbreeding risk in a cooperative mammal","BEHAVIORAL ECOLOGY",2015,"2015-2016","yes","yes","LMMs and GLMMs","R",1,"1","2","1","no","no","NA","NA","NA","yes","yes","yes","no","no","Microsatellite sequences are available from Genbank: accession numbers provided.","NA","AC, AB"
"Adult helpers increase the recruitment of closely related offspring in the cooperatively breeding rifleman","BEHAVIORAL ECOLOGY",2016,"2015-2016","yes","yes","linear mixed-effects model, restricted maximum-likelihood, analysis of covariance","R",1,"1","1","0","no","no","NA","NA","NA","yes","yes","yes","no","no","note that version of the package is mentioned in the references, but seems something went wrong in referencing, so one cannot see the real version","NA","AC, AB"
"Algal biomass and pigments along a latitudinal gradient in Victoria Land lakes, East Antarctica","POLAR RESEARCH",2016,"2015-2016","yes","no","PCA","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","partially","yes","data shared partly via Figures, and some in the supl. PDF file","NA","AC, AB"
"An empirical test of stable species coexistence in an amphipod species complex","OECOLOGIA",2015,"2015-2016","yes","no","one-sample t-test. GLM, multivariate analysis of variance","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","no","no","some data shared in suppl. Figs","NA","AC, AB"
