Timestamp,Coder initials:,Article ID:,What date was the article received by the journal?,Does the article state whether or not the data are available?,"According to the statement, how are the data accessible?",What reasons are provided?,"For reasons selected above, please provide additional details here:",What does the link lead to?,What is the file format?,Were you able to successfully download and open the data file(s)?,Does all of the data needed for evaluation and reproduction of the research appear to be available after brief review?,Are the data understandable after brief review?,Are analysis scripts also available to download?,Is a license provided with the data?,Why could you not access the data file?
5/11/17 17:11,MK,UyhqN,12/2/09,No - there is no data availability statement,,,,,,,,,,,
5/11/17 17:25,MK,ZmBQw,2/16/10,No - there is no data availability statement,,,,,,,,,,,
3/14/17 11:24,MK,RNSjf,11/2/10,No - there is no data availability statement,,,,,,,,,,,
3/16/17 6:21,GB,bsZBj,1/15/11,No - there is no data availability statement,,,,,,,,,,,
3/14/17 10:58,MK,KNICM,8/14/11,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.pdf and .aiff,Yes,"No, there are no data in the file",No,No,"No, a license is not provided",
3/16/17 9:42,MK,iaFLb,9/8/11,No - there is no data availability statement,,,,,,,,,,,
3/24/17 12:02,MK,fLKQZ,9/18/11,No - there is no data availability statement,,,,,,,,,,,
3/15/17 16:09,GB,huHkf,9/19/11,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,A third party repository,.txt,Yes,"Yes, all of the data appear to be available",Partly,Yes,"No, a license is not provided",
4/7/17 16:37,GB,dlHGQ,9/26/11,No - there is no data availability statement,,,,,,,,,,,
5/17/17 19:09,MK,GZBWu,12/1/11,No - there is no data availability statement,,,,,,,,,,,
4/4/17 22:31,MK,GhUHB,12/30/11,No - there is no data availability statement,,,,,,,,,,,
3/17/17 9:32,GB,KYfkH,2/8/12,No - there is no data availability statement,,,,,,,,,,,
3/9/17 17:23,EY,AzMWF,4/3/12,No - there is no data availability statement,,,,,,,,,,,
3/17/17 17:22,EY,tNDKE,4/4/12,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.doc or .docx (Microsoft Word),Yes,"No, there are no data in the file",No,No,"No, a license is not provided",
5/3/17 16:38,GB,tzokk,4/12/12,No - there is no data availability statement,,,,,,,,,,,
3/25/17 15:51,GB,BIUdc,4/13/12,No - there is no data availability statement,,,,,,,,,,,
3/20/17 14:34,EC,Lxnue,5/14/12,No - there is no data availability statement,,,,,,,,,,,
