id,authors,title,keywords,pubMonth,pubYear,volume,firstPage,lastPage,doi
ymKXM,"Carrigan, EM; Coppola, M",Successful communication does not drive language development: Evidence from adult homesign,Language development; Constructivism; Communication; Comprehension; Homesign; Gesture,JAN,2017,158,10,27,http://doi.org/10.1016/j.cognition.2016.09.012
KKzav,"Leone, MJ; Slezak, DF; Golombek, D; Sigman, M",Time to decide: Diurnal variations on the speed and quality of human decisions,Decision-making; Circadian rhythms; Chess; Human chronobiology,JAN,2017,158,44,55,http://doi.org/10.1016/j.cognition.2016.10.007
IbIAB,"Sella, F; Berteletti, I; Lucangeli, D; Zorzi, M","Preschool children use space, rather than counting, to infer the numerical magnitude of digits: Evidence for a spatial mapping principle",Numerical skills; Counting; Number line; Spatial mapping; Number comparison; Preschool children,JAN,2017,158,56,67,http://doi.org/10.1016/j.cognition.2016.10.010
JjBgC,"Marchette, SA; Ryan, J; Epstein, RA",Schematic representations of local environmental space guide goal-directed navigation,Navigation; Allocentric; Spatial memory; Environmental geometry; Place recognition; Virtual reality,JAN,2017,158,68,80,http://doi.org/10.1016/j.cognition.2016.10.005
tiRNK,"Bago, B; De Neys, W",Fast logic?: Examining the time course assumption of dual process theory,Dual process theory; Reasoning; Conflict detection,JAN,2017,158,90,109,http://doi.org/10.1016/j.cognition.2016.10.014
kOToV,"Protopapas, A; Markatou, A; Samaras, E; Piokos, A",Shape and color naming are inherently asymmetrical: Evidence from practice-based interference,Naming; Automaticity; Training; Interference; Stroop; Paired associate learning,JAN,2017,158,122,133,http://doi.org/10.1016/j.cognition.2016.10.025
rYrBD,"Meinhardt-Injac, B; Boutet, I; Persike, M; Meinhardt, G; Imhof, M","From development to aging: Holistic face perception in children, younger and older adults",Development; Aging; Face perception; Object perception; Composite effect; Attention,JAN,2017,158,134,146,http://doi.org/10.1016/j.cognition.2016.10.020
QkbZy,"Qiao, XM; Forster, KI",Is the L2 lexicon different from the L1 lexicon? Evidence from novel word lexicalization,L2 lexical acquisition; L2 lexicon; Masked priming,JAN,2017,158,147,152,http://doi.org/10.1016/j.cognition.2016.10.026
Cfseb,"Matsuno, T; Tomonaga, M",Causal capture effects in chimpanzees (Pan troglodytes),Causal perception; Causal illusion; Chimpanzees; Nonhuman primates; Comparative cognition,JAN,2017,158,153,164,http://doi.org/10.1016/j.cognition.2016.10.023
wsHXi,"de Hevia, MD; Addabbo, M; Nava, E; Croci, E; Girelli, L; Cassia, VM",Infants' detection of increasing numerical order comes before detection of decreasing number,Number; Infants; Ordinal; Increasing order,JAN,2017,158,177,188,http://doi.org/10.1016/j.cognition.2016.10.022
