Number,Title,Topic_area,Eligble,Editorial_or_letter,Systematic_narrative_scoping_review,Meta_analysis,Software_used,Data_shared,Code_shared,Data_available_upon_request
6,"""muscle memory"" not mediated by myonuclear number? Secondary analysis of human detraining data:",NA,0,1,,,,,,
50,8-Week Basic Military Training Improves Adiponectin Multimer Ratio in Healthy Young Males:,Sport/Exercise,1,,,,Not_stated,0,0,0
65,A biomechanical cadaveric study of patellar tendon allograft as an alternative graft material for superior capsule reconstruction:,Medicine,1,,,,Not_stated,0,0,0
84,A combined procedure with Bereiter-type trochleoplasty leads to a stable patellofemoral joint at 5-year follow-up:,Medicine,1,,,,Not_stated,0,0,0
138,A Meta-Analysis of Plyometric Training in Female Youth: Its Efficacy and Shortcomings in the Literature:,Sport/Exercise,1,,,1,Other,1,0,NA
157,A multilevel hypernetworks approach to capture meso-level synchronisation processes in football:,Sport/Exercise,1,,,,SPSS,0,0,0
199,A proposal for a new classification of pes anserinus morphology:,Medicine,1,,,,Other,0,0,0
272,A threshold value of 3.5 mm of passive anterior tibial subluxation on MRI is highly specific for complete ACL tears:,Medicine,1,,,,Stata,0,0,0
341,Active Recovery Induces Greater Endurance Adaptations When Performing Sprint Interval Training:,Sport/Exercise,1,,,,SPSS,0,0,0
369,Acute Effects of Citrulline Supplementation on High-Intensity Strength and Power Performance: A Systematic Review and Meta-Analysis:,Sport/Exercise,1,,,1,R,1,0,NA
370,"Acute Effects of Constant-Angle and Constant-Torque Static Stretching on Passive Stiffness of the Posterior Hip and Thigh Muscles in Healthy, Young and Old Men:",Sport/Exercise,1,,,,SPSS,0,0,0
377,Acute effects of very low-volume high-intensity interval training on muscular fatigue and serum testosterone level vary according to age and training status:,Sport/Exercise,1,,,,Not_stated,0,0,0
417,Adductor Canal Block Versus Femoral Nerve Block for Pain Control After Anterior Cruciate Ligament Reconstruction: A Prospective Randomized Trial:,Medicine,1,,,,R,0,0,0
431,Advanced Age Redistributes Positive but Not Negative Leg Joint Work during Walking:,Sport/Exercise,1,,,,SPSS,0,0,0
454,Aerobic training status does not attenuate prolonged sitting-induced lower limb vascular dysfunction:,Sport/Exercise,1,,,,Not_stated,0,0,0
461,Age at Time of Surgery but Not Sex Is Related to Outcomes After Medial Patellofemoral Ligament Reconstruction:,Medicine,1,,,,Not_stated,0,0,0
508,Altered movement strategies during jump landing/cutting in patients with chronic ankle instability:,Sport/Exercise,1,,,,R,0,0,0
562,"Analysis of foot strike pattern, rearfoot dynamic and foot rotation over childhood. A cross-sectional study:",Sport/Exercise,1,,,,SPSS,0,0,0
565,Analysis of Return to Sport and Weight Training After Repair of the Pectoralis Major Tendon:,Medicine,1,,,,R,0,0,0
583,Anatomical rectangular tunnels identified with the arthroscopic landmarks result in excellent outcomes in ACL reconstruction with a BTB graft:,Medicine,1,,,,Other,0,0,0
611,Anterior cruciate ligament injury risk by season period and competition segment: An analysis of national collegiate athletic association injury surveillance data:,Medicine,1,,,,SAS,0,0,0
733,Arthroscopic Rotator Cuff Repair With a Knotless Suture Bridge Technique: Functional and Radiological Outcomes After a Minimum Follow-Up of 5 Years:,Medicine,1,,,,SAS,0,0,0
774,Assessment of Association Between Spino-Pelvic Parameters and Outcomes Following Gluteus Medius Repair:,Medicine,1,,,,SPSS,0,0,0
779,Assessment of Na+/K+ ATPase Activity in Small Rodent and Human Skeletal Muscle Samples:,Sport/Exercise,1,,,,Other,0,0,0
787,"Association between deoxygenated hemoglobin breaking point, anaerobic threshold, and rowing performance:",Sport/Exercise,1,,,,Not_stated,0,0,0
808,Association of Dynamic Balance With Sports-Related Concussion: A Prospective Cohort Study:,Sport/Exercise,1,,,,SPSS,0,0,0
809,Association of high amounts of physical activity with mortality risk: A systematic review and meta-analysis:,Sport/Exercise,1,,,1,Stata,0,0,1
813,Association of Race and Ethnicity with Total Hip Arthroplasty Outcomes in a Universally Insured Population:,Medicine,1,,,,R,0,0,0
825,Associations Between Insurance Provider and Assistive Technology Use for Computer and Electronic Devices 1 Year After Tetraplegia: Findings From the Spinal Cord Injury Model Systems National Database:,Rehab,1,,,,SAS,0,0,0
833,"Associations of object control motor skill proficiency, game play competence, physical activity and cardiorespiratory fitness among primary school children:",Sport/Exercise,1,,,,Other,0,0,0
884,Average acceleration and intensity gradient of primary school children and associations with indicators of health and well-being:,Sport/Exercise,1,,,,SPSS,0,0,0
892,Bacterial biofilm formation is variably inhibited by different formulations of antibiotic-loaded bone cement in vitro:,Medicine,1,,,,SPSS,0,0,0
982,Biomechanics of lower trapezius and latissimus dorsi transfers in rotator cuff–deficient shoulders:,Sport/Exercise,1,,,,SPSS,0,0,0
1073,'Bundle busters' who is at risk of exceeding the target payment and can they be optimized?:,Medicine,1,,,,Stata,0,0,0
1114,Can some early revision total hip arthroplasties be avoided?:,Medicine,1,,,,SPSS,0,0,0
1119,Can the neck contribute to persistent symptoms post concussion? A prospective descriptive case series:,Medicine,1,,,,Not_stated,0,0,0
1132,Carbohydrate oxidation and glucose utilisation under hyperglycaemia in aged and young males during exercise at the same relative exercise intensity:,Sport/Exercise,1,,,,SPSS,0,0,0
1137,Cardiac parasympathetic and anaerobic performance recovery after high-intensity exercise in rowers:,Sport/Exercise,1,,,,SPSS,0,0,0
1145,Cardiometabolic Response to a Single High-intensity Interval Exercise Session Versus Breaking up Sedentary Time with Fragmented High-intensity Interval Exercise:,Sport/Exercise,1,,,,SPSS,0,0,0
1152,Cardiorespiratory and muscular fitness in young adult Finnish men between 2003 and 2015:,Sport/Exercise,1,,,,SPSS,0,0,0
1177,"Cartilage Restoration Surgery: Incidence Rates, Complications, and Trends as Reported by the American Board of Orthopaedic Surgery Part II Candidates:",Medicine,1,,,,SPSS,0,0,0
1188,Celecoxib cannot inhibit the progression of initiated traumatic heterotopic ossification:,Medicine,1,,,,SPSS,0,0,0
1203,Cervical Alignment of Anterior Cervical Hyperostosis Causing Dysphagia:,Medicine,1,,,,Other,0,0,0
1205,Cervical spinal 5-HT2A and 5-HT2B receptors are both necessary for moderate acute intermittent hypoxia-induced phrenic long-term facilitation:,Sport/Exercise,1,,,,Other,0,0,0
1222,Change in physical activity from adolescence to early adulthood: A systematic review and meta-analysis of longitudinal cohort studies:,Sport/Exercise,1,,,1,Stata,0,0,0
1229,"Changes in Body Composition and Neuromuscular Performance Through Preparation, 2 Competitions, and a Recovery Period in an Experienced Female Physique Athlete:",Sport/Exercise,1,,,,Not_stated,0,0,0
1231,Changes in cerebral oxygen saturation and cerebral blood flow velocity under mild Gz hypergravity:,Sport/Exercise,1,,,,R,0,0,0
1264,Characterization of bone ingrowth and interface mechanics of a new porous 3D printed biomaterial:,Medicine,1,,,,Not_stated,0,0,0
1286,Chronic anterior tibial stress fractures in athletes: No crack but intense remodeling:,Medicine,1,,,,Not_stated,0,0,0
1319,Clinical and radiographic outcomes of chitosan-glycerol phosphate/blood implant are similar with hyaluronic acid-based cell-free scaffold in the treatment of focal osteochondral lesions of the knee joint:,Medicine,1,,,,Not_stated,0,0,0
1348,Clinical Outcomes and Predictive Factors for Failure With Isolated MPFL Reconstruction for Recurrent Patellar Instability: A Series of 211 Reconstructions With a Minimum Follow-up of 3 Years:,Medicine,1,,,,SAS,0,0,0
1350,Clinical outcomes following reverse shoulder arthroplasty–allograft composite for revision of failed arthroplasty associated with proximal humeral bone deficiency: 2- to 15-year follow-up:,Medicine,1,,,,Not_stated,0,0,0
1360,Closed Wound Subfascial Suction Drainage in Posterior Fusion Surgery for Adolescent Idiopathic Scoliosis: A Prospective Randomized Control Study:,Medicine,1,,,,SPSS,0,0,0
1404,Combined total hip and knee arthroplasty during the same hospital admission: Is it safe?:,Medicine,1,,,,Not_stated,0,0,0
1431,Comparative Effectiveness of Cartilage Repair With Respect to the Minimal Clinically Important Difference:,Medicine,1,,,1,Not_stated,0,0,0
1459,Comparison between cuff-based and radial tonometry exercise-induced central blood pressure:,Sport/Exercise,1,,,,SPSS,0,0,0
1464,Comparison of a Vitamin E-infused highly crosslinked polyethylene insert and a conventional polyethylene insert for primary total knee arthroplasty at two years postoperatively:,Medicine,1,,,,SPSS,0,0,0
1493,Comparison of patient-reported outcomes based on implant brand in total knee arthroplasty: A prospective cohort study:,Medicine,1,,,,SAS,0,0,0
1497,Comparison of Postoperative Outcomes According to Compensatory Changes of the Thoracic Spine among Patients with a T1 Slope More Than 40°:,Medicine,1,,,,SPSS,0,0,0
1504,Comparison of reduced-volume high-intensity interval training and high-volume training on endurance performance in triathletes:,Sport/Exercise,1,,,,SPSS,0,0,0
1614,Controlled ecological evaluation of an implemented exercise-training programme to prevent lower limb injuries in sport: Population-level trends in hospital-treated injuries:,Sport/Exercise,1,,,,Not_stated,0,0,0
1624,Coper Classification Early After Anterior Cruciate Ligament Rupture Changes With Progressive Neuromuscular and Strength Training and Is Associated With 2-Year Success: The Delaware-Oslo ACL Cohort Study:,Medicine,1,,,,SAS,0,0,0
1840,Criterion-related validity of self-report walking time from the EPIC questionnaire in older adults:,Rehab,1,,,,Stata,0,0,0
1852,Cross-education does not improve early and late-phase rehabilitation outcomes after ACL reconstruction: a randomized controlled clinical trial:,Medicine,1,,,,SPSS,0,0,0
1887,Cutibacterium acnes in primary reverse shoulder arthroplasty: from skin to deep layers:,Medicine,1,,,,SPSS,0,0,0
1955,Depression and Non-modifiable Patient Factors Associated with Patient Satisfaction in an Academic Orthopaedic Outpatient Clinic: Is it More Than a Provider Issue?:,Medicine,1,,,,SAS,0,0,0
1960,Dermal Calcium Loss Is Not the Primary Determinant of Parathyroid Hormone Secretion during Exercise:,Sport/Exercise,1,,,,SAS,0,0,0
2021,Development of the glenohumeral joint after subscapular release and open relocation in children with brachial plexus birth palsy: long-term results in 61 patients:,Medicine,1,,,,SPSS,0,0,0
2053,Differences in case mix and outcomes between Swiss and Scottish total knee arthroplasty patients:,Medicine,1,,,,SPSS,0,0,0
2086,Directional aiming bias in golf putting:,Sport/Exercise,1,,,,Not_stated,0,0,0
2100,Displaced humeral surgical neck fractures: classification and results of third-generation percutaneous intramedullary nailing:,Medicine,1,,,,Other,0,0,0
2101,Displaced medial end clavicular fractures treated with an inverted distal clavicle plate contoured through 90 degrees:,Medicine,1,,,,Not_stated,0,0,0
2109,Distal tuberosity osteotomy in open-wedge high tibial osteotomy does not exacerbate patellofemoral osteoarthritis on arthroscopic evaluation:,Medicine,1,,,,Other,0,0,0
2143,Do habitual foot-strike patterns in running influence functional Achilles tendon properties during gait?:,Sport/Exercise,1,,,,SPSS,0,0,0
2170,Do the associations of sedentary behaviour with cardiovascular disease mortality and cancer mortality differ by physical activity level? A systematic review and harmonised meta-analysis of data from 850 060 participants:,Sport/Exercise,1,,1,,Other,0,0,0
2207,Does early anterior cruciate ligament reconstruction prevent development of meniscal damage? Results from a secondary analysis of a randomised controlled trial:,Medicine,1,,,,Not_stated,0,0,0
2226,Does Medicaid expansion improve access to care for the first-time shoulder dislocator?:,Medicine,1,,,,Not_stated,0,0,0
2228,Does MRI add value in general practice for patients with traumatic knee complaints? A 1-year randomised controlled trial:,Medicine,1,,,,SPSS,0,0,1
2277,Dose–response relationship of intermittent normobaric hypoxia to stimulate erythropoietin in the context of health promotion in young and old people:,Sport/Exercise,1,,,,SPSS,0,0,0
2286,Drain Use is Associated with Increased Odds of Blood Transfusion in Total Shoulder Arthroplasty: A Population-Based Study:,Medicine,1,,,,SAS,0,0,0
2303,Dynamic balance performance varies by position but not by age group in elite Rugby Union players–a normative study:,Sport/Exercise,1,,,,Not_stated,0,0,0
2327,Early Intervention Service Intensity and Change in Children's Functional Capabilities:,Rehab,1,,,,Stata,0,0,0
